Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2005-11-01,28-096,SAS,,DEN,W (+11),1,28:42,2,9,.222,0,1,.000,6,8,.750,1,3,4,2,1,0,3,0,10,4.7,-1
2,2,2005-11-04,28-099,SAS,,CLE,W (+26),1,22:17,4,8,.500,1,3,.333,1,2,.500,0,1,1,4,0,0,2,2,10,5.9,+18
3,3,2005-11-05,28-100,SAS,@,DAL,L (-19),1,28:18,2,11,.182,1,2,.500,8,10,.800,3,2,5,1,2,0,2,5,13,6.7,-28
4,4,2005-11-07,28-102,SAS,@,CHI,W (+9),1,37:20,5,16,.313,3,10,.300,1,3,.333,2,11,13,3,3,1,4,1,14,10.1,+7
5,5,2005-11-09,28-104,SAS,@,CHA,W (+8),0,30:55,2,5,.400,1,1,1.000,3,4,.750,0,4,4,5,1,1,2,2,8,8.5,+6
6,6,2005-11-11,28-106,SAS,@,BOS,W (+21),1,27:59,3,8,.375,1,3,.333,4,5,.800,0,2,2,5,0,0,1,3,11,8.1,+13
7,7,2005-11-12,28-107,SAS,@,WAS,L (-15),1,31:41,8,12,.667,4,7,.571,8,8,1.000,0,3,3,3,0,0,3,3,28,21.6,-8
8,8,2005-11-15,28-110,SAS,,ATL,W (+24),1,28:36,9,13,.692,1,2,.500,5,5,1.000,0,3,3,2,5,1,1,1,24,25.1,+24
9,9,2005-11-17,28-112,SAS,,HOU,W (+6),1,32:43,6,14,.429,0,3,.000,3,3,1.000,2,5,7,2,4,0,2,2,15,13.1,+3
10,10,2005-11-19,28-114,SAS,,PHO,W (+6),1,32:34,6,14,.429,1,4,.250,2,3,.667,1,5,6,1,3,0,0,5,15,11.1,+8
11,11,2005-11-21,28-116,SAS,@,SAC,W (+3),1,30:53,4,11,.364,0,1,.000,4,5,.800,0,0,0,4,3,1,4,1,12,7.6,+9
12,12,2005-11-23,28-118,SAS,@,GSW,W (+24),1,21:13,4,8,.500,1,3,.333,5,5,1.000,3,2,5,5,0,1,2,1,14,14.5,+31
13,13,2005-11-25,28-120,SAS,,CHI,L (-7),1,31:45,5,10,.500,2,6,.333,4,7,.571,1,6,7,5,0,0,1,4,16,13.2,-7
14,14,2005-11-29,28-124,SAS,,LAL,W (+6),1,29:37,9,14,.643,2,3,.667,2,4,.500,1,7,8,2,0,2,2,0,22,18.6,+19
15,15,2005-12-05,28-130,SAS,@,ORL,W (+25),1,20:38,1,4,.250,0,2,.000,2,2,1.000,0,3,3,4,0,0,2,2,4,2.5,+13
16,16,2005-12-07,28-132,SAS,,MIA,W (+14),1,32:26,10,16,.625,1,4,.250,6,7,.857,0,2,2,2,2,0,2,4,27,19.8,+9
17,17,2005-12-09,28-134,SAS,,BOS,W (+12),1,24:15,6,10,.600,0,1,.000,2,3,.667,0,0,0,2,4,0,0,2,14,13.6,+4
18,18,2005-12-10,28-135,SAS,@,ATL,L (-10),1,29:44,7,14,.500,0,0,,3,6,.500,2,8,10,2,1,0,3,3,17,10.8,-9
19,19,2005-12-27,28-152,SAS,,IND,W (+13),0,14:39,3,7,.429,0,3,.000,3,7,.429,1,3,4,2,0,1,0,1,9,7.0,+6
20,20,2005-12-29,28-154,SAS,,NOK,W (+27),0,17:07,4,5,.800,1,1,1.000,5,6,.833,0,2,2,0,1,1,3,0,14,11.0,+28
21,21,2005-12-31,28-156,SAS,@,DEN,W (+10),0,24:39,6,10,.600,1,3,.333,7,10,.700,0,4,4,8,4,0,4,2,20,20.2,+10
22,22,2006-01-04,28-160,SAS,,POR,W (+31),0,18:23,6,10,.600,1,2,.500,2,2,1.000,2,3,5,2,1,1,0,2,15,15.0,+16
23,23,2006-01-06,28-162,SAS,,MIN,W (+6),0,26:05,7,13,.538,0,3,.000,7,9,.778,1,3,4,2,4,0,1,5,21,17.9,+6
24,24,2006-01-07,28-163,SAS,@,PHO,L (-5),0,27:26,6,12,.500,1,3,.333,6,8,.750,0,1,1,0,2,1,1,1,19,13.8,-10
25,25,2006-01-10,28-166,SAS,,NJN,W (+5),0,26:38,3,5,.600,2,3,.667,8,10,.800,0,2,2,3,0,0,3,4,16,11.0,+9
26,26,2006-01-12,28-168,SAS,,DET,L (-15),0,28:49,4,13,.308,1,5,.200,7,9,.778,0,3,3,2,2,1,1,4,16,10.1,-13
27,27,2006-01-14,28-170,SAS,,MEM,W (+1),1,34:20,7,14,.500,3,5,.600,3,3,1.000,1,1,2,7,3,0,2,2,20,19.1,+1
28,28,2006-01-16,28-172,SAS,@,MEM,W (+10),1,31:26,3,5,.600,1,2,.500,8,11,.727,0,2,2,5,1,2,1,5,15,15.0,+13
29,29,2006-01-18,28-174,SAS,,MIL,W (+3),1,33:35,5,14,.357,1,6,.167,5,6,.833,0,5,5,7,2,1,2,1,16,14.5,+3
30,30,2006-01-20,28-176,SAS,@,MIA,W (+7),1,19:53,2,3,.667,1,1,1.000,3,7,.429,0,1,1,5,1,1,2,2,8,7.8,+9
31,31,2006-01-28,28-184,SAS,,MIN,W (+14),1,20:27,5,10,.500,2,3,.667,2,2,1.000,0,1,1,0,3,0,0,0,14,12.3,+8
32,32,2006-01-30,28-186,SAS,@,UTA,W (+9),1,26:24,3,6,.500,2,4,.500,2,2,1.000,2,1,3,4,2,0,2,4,10,9.9,+16
33,33,2006-02-01,28-188,SAS,@,POR,W (+4),1,29:41,5,10,.500,1,1,1.000,11,12,.917,1,1,2,4,1,0,0,3,22,20.2,+13
34,34,2006-02-02,28-189,SAS,@,GSW,W (+3),1,32:30,6,12,.500,0,2,.000,6,7,.857,0,2,2,5,1,0,3,4,18,12.1,+1
35,35,2006-02-08,28-195,SAS,@,TOR,W (+7),1,34:31,4,11,.364,1,2,.500,5,6,.833,0,2,2,5,1,0,1,5,14,9.6,+1
36,36,2006-02-10,28-197,SAS,@,NJN,W (+10),1,32:29,7,13,.538,3,6,.500,5,6,.833,1,4,5,3,4,0,5,2,22,17.5,+19
37,37,2006-02-12,28-199,SAS,@,IND,W (+4),1,34:41,7,12,.583,4,6,.667,11,12,.917,1,1,2,4,1,0,6,3,29,20.6,+26
38,38,2006-02-13,28-200,SAS,@,CLE,L (-14),1,28:19,5,11,.455,0,2,.000,2,3,.667,0,7,7,3,0,0,3,5,12,5.1,-7
39,39,2006-02-15,28-202,SAS,@,PHI,L (-3),1,34:04,3,16,.188,0,3,.000,6,8,.750,0,1,1,8,1,0,1,5,12,5.1,-7
40,40,2006-02-21,28-208,SAS,,SEA,W (+25),1,23:30,1,9,.111,1,4,.250,0,2,.000,1,4,5,4,0,2,1,1,3,1.0,+10
41,41,2006-02-24,28-211,SAS,@,MEM,W (+3),1,32:50,3,9,.333,3,4,.750,4,6,.667,0,1,1,4,4,0,2,3,13,11.0,+12
42,42,2006-02-25,28-212,SAS,,GSW,W (+17),1,27:35,5,15,.333,1,4,.250,2,2,1.000,2,1,3,4,2,0,1,2,13,9.2,+12
43,43,2006-02-27,28-214,SAS,,NYK,W (+28),1,10:00,2,3,.667,1,2,.500,1,1,1.000,0,2,2,2,1,0,4,4,6,2.1,+9
44,44,2006-03-02,28-217,SAS,,DAL,W (+9),1,24:11,2,7,.286,0,3,.000,4,8,.500,0,1,1,2,1,0,2,3,8,1.8,+3
45,45,2006-03-04,28-219,SAS,,POR,W (+20),1,25:50,5,12,.417,1,4,.250,2,2,1.000,0,6,6,2,1,2,2,1,13,9.8,+5
46,46,2006-03-06,28-221,SAS,@,LAL,W (+7),1,33:16,7,11,.636,5,6,.833,2,2,1.000,0,6,6,3,1,0,3,0,21,18.0,+18
47,47,2006-03-07,28-222,SAS,@,LAC,L (-13),1,29:45,6,8,.750,1,3,.333,2,3,.667,0,1,1,3,3,0,0,1,15,16.4,-11
48,48,2006-03-09,28-224,SAS,@,PHO,W (+24),1,29:44,6,8,.750,3,4,.750,3,4,.750,0,2,2,5,3,0,1,2,18,19.7,+29
49,49,2006-03-10,28-225,SAS,,LAL,L (-8),1,30:44,2,6,.333,0,1,.000,9,12,.750,1,2,3,6,0,0,2,3,13,10.7,-3
50,50,2006-03-12,28-227,SAS,,HOU,W (+7),1,32:22,5,15,.333,0,4,.000,4,5,.800,2,5,7,5,1,0,0,1,14,12.1,+4
51,51,2006-03-14,28-229,SAS,,NOK,W (+15),1,26:06,0,7,.000,0,5,.000,5,7,.714,0,4,4,2,0,2,1,1,5,1.9,-8
52,52,2006-03-17,28-232,SAS,,PHO,W (+6),1,29:09,4,9,.444,2,4,.500,4,4,1.000,1,3,4,5,1,0,0,2,14,14.6,+7
53,53,2006-03-21,28-236,SAS,,GSW,W (+11),1,28:32,3,8,.375,0,2,.000,4,5,.800,0,4,4,6,0,0,2,5,10,6.6,0
54,54,2006-03-22,28-237,SAS,@,DEN,L (-12),1,32:10,8,14,.571,4,7,.571,6,7,.857,0,3,3,4,2,0,2,3,26,21.5,-9
55,55,2006-03-24,28-239,SAS,@,POR,W (+19),1,26:11,5,9,.556,2,4,.500,4,4,1.000,2,1,3,4,2,0,1,0,16,17.2,+18
56,56,2006-03-26,28-241,SAS,@,SEA,L (-4),1,26:09,6,8,.750,2,3,.667,3,4,.750,0,2,2,6,2,1,3,5,17,15.9,+11
57,57,2006-03-28,28-243,SAS,@,LAC,W (+11),1,29:26,3,8,.375,0,2,.000,2,2,1.000,0,3,3,9,3,0,1,3,8,11.6,+13
58,58,2006-03-30,28-245,SAS,@,LAL,W (+11),1,24:36,4,10,.400,1,3,.333,2,4,.500,1,1,2,4,3,0,3,3,11,7.4,-6
59,59,2006-04-01,28-247,SAS,,WAS,W (+7),1,31:44,5,10,.500,1,1,1.000,11,15,.733,2,1,3,3,0,1,1,3,22,17.7,+11
60,60,2006-04-04,28-250,SAS,@,UTA,W (+9),1,28:27,8,15,.533,4,6,.667,6,6,1.000,0,4,4,0,2,0,3,3,26,17.7,+10
61,61,2006-04-05,28-251,SAS,,SAC,L (-10),1,26:38,3,8,.375,0,1,.000,2,2,1.000,0,2,2,1,1,0,2,2,8,3.1,-14
62,62,2006-04-07,28-253,SAS,,DAL,L (-6),1,32:02,7,18,.389,1,6,.167,7,8,.875,0,3,3,4,0,1,1,1,22,14.8,-14
63,63,2006-04-16,28-262,SAS,@,MIN,W (+13),1,23:34,6,12,.500,1,4,.250,1,2,.500,3,4,7,4,1,0,3,2,14,10.9,+4
64,64,2006-04-17,28-263,SAS,,UTA,W (+33),1,25:02,4,11,.364,3,6,.500,7,7,1.000,0,2,2,4,1,0,0,1,18,15.9,+38
65,65,2006-04-19,28-265,SAS,@,HOU,W (+2),1,25:42,5,10,.500,1,2,.500,0,0,,1,3,4,6,2,1,3,0,11,11.5,0
