Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-04-18,32-264,SAS,@,DAL,L (-6),1,40:04,10,17,.588,3,7,.429,3,3,1.000,1,3,4,6,3,0,5,2,26,21.1,-1
2,2,2010-04-21,32-267,SAS,@,DAL,W (+14),1,32:30,8,13,.615,4,6,.667,3,3,1.000,0,5,5,4,2,0,3,2,23,19.6,+13
3,3,2010-04-23,32-269,SAS,,DAL,W (+4),1,35:53,4,12,.333,0,3,.000,7,8,.875,0,5,5,7,3,1,2,4,15,14.3,+8
4,4,2010-04-25,32-271,SAS,,DAL,W (+3),1,33:54,4,16,.250,1,7,.143,8,9,.889,0,4,4,7,4,0,1,4,17,14.5,-12
5,5,2010-04-27,32-273,SAS,@,DAL,L (-22),1,18:16,2,7,.286,0,2,.000,3,4,.750,1,1,2,1,1,0,4,3,7,0.0,-20
6,6,2010-04-29,32-275,SAS,,DAL,W (+10),1,38:26,7,19,.368,2,6,.333,10,12,.833,0,2,2,5,1,0,1,2,26,18.0,+5
7,7,2010-05-03,32-279,SAS,@,PHO,L (-9),1,38:20,9,20,.450,3,9,.333,6,7,.857,2,3,5,5,4,0,3,5,27,21.0,+5
8,8,2010-05-05,32-281,SAS,@,PHO,L (-8),1,39:44,2,8,.250,2,5,.400,5,6,.833,0,3,3,11,0,1,3,5,11,10.1,-3
9,9,2010-05-07,32-283,SAS,,PHO,L (-14),1,37:22,10,17,.588,4,9,.444,3,3,1.000,0,1,1,5,3,0,5,2,27,20.1,-7
10,10,2010-05-09,32-285,SAS,,PHO,L (-6),1,37:58,2,11,.182,1,6,.167,10,12,.833,0,6,6,9,5,0,3,1,15,17.0,-10
