Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,2005-01-15,27-171,SAS,@,HOU,L (-6),1,15:00,1,5,.200,0,1,.000,4,7,.571,1,2,3,1,3,0,0,2,6,5.9,+8
39,39,2005-01-19,27-175,SAS,,LAC,W (+1),1,30:00,3,10,.300,0,6,.000,7,7,1.000,0,2,2,3,0,0,3,5,13,4.9,+8
40,40,2005-01-21,27-177,SAS,@,PHO,W (+5),1,44:00,16,22,.727,5,7,.714,11,12,.917,1,4,5,6,1,0,3,4,48,41.1,+16
41,41,2005-01-23,27-179,SAS,@,SAC,W (+30),1,29:00,4,8,.500,0,1,.000,2,2,1.000,0,4,4,2,1,1,1,1,10,8.9,+20
42,42,2005-01-24,27-180,SAS,@,POR,L (-8),1,33:00,3,8,.375,2,4,.500,4,4,1.000,0,4,4,3,2,1,1,4,12,11.0,-5
43,43,2005-01-27,27-183,SAS,,SAC,W (+10),1,35:00,9,15,.600,2,5,.400,5,6,.833,1,5,6,3,1,1,2,2,25,20.9,+17
44,44,2005-01-29,27-185,SAS,,NOH,W (+10),1,30:00,8,13,.615,1,3,.333,0,0,,2,2,4,2,3,0,3,2,17,13.7,+17
45,45,2005-01-31,27-187,SAS,@,SEA,W (+19),1,31:00,9,15,.600,2,3,.667,3,5,.600,2,0,2,7,2,1,0,3,23,23.1,+21
46,46,2005-02-03,27-190,SAS,@,LAL,W (+12),1,32:00,6,12,.500,1,3,.333,4,4,1.000,2,2,4,9,2,1,1,4,17,19.4,+17
47,47,2005-02-08,27-195,SAS,@,CHA,W (+19),1,24:00,4,11,.364,2,5,.400,2,2,1.000,3,4,7,2,1,1,1,1,12,10.9,+20
48,48,2005-02-09,27-196,SAS,@,WAS,L (-8),1,33:00,6,15,.400,1,5,.200,2,4,.500,3,1,4,3,2,1,3,3,15,9.1,-2
49,49,2005-02-11,27-198,SAS,@,NJN,W (+10),1,36:00,4,12,.333,3,5,.600,6,6,1.000,2,5,7,3,0,0,1,3,17,13.0,+3
50,50,2005-02-13,27-200,SAS,@,MIA,L (-4),1,36:00,8,17,.471,0,2,.000,8,9,.889,1,6,7,2,2,0,3,3,24,16.6,+3
51,51,2005-02-16,27-203,SAS,@,NOH,W (+23),1,30:00,3,7,.429,1,2,.500,6,6,1.000,0,3,3,10,1,0,1,1,13,16.8,+27
52,52,2005-02-23,27-210,SAS,,HOU,W (+18),1,31:00,5,6,.833,1,2,.500,7,10,.700,1,2,3,2,3,1,4,3,18,15.8,+8
53,53,2005-02-26,27-213,SAS,,MEM,L (-2),1,27:00,4,9,.444,2,4,.500,6,6,1.000,0,4,4,3,1,0,7,5,16,6.6,-11
54,54,2005-02-28,27-215,SAS,@,CLE,W (+2),1,30:00,4,9,.444,0,2,.000,9,14,.643,1,1,2,3,1,0,4,4,17,8.8,+9
55,55,2005-03-02,27-217,SAS,,TOR,W (+6),1,37:00,7,10,.700,1,4,.250,2,3,.667,1,5,6,4,1,0,2,0,17,16.4,+20
56,56,2005-03-04,27-219,SAS,,CHI,W (+3),1,35:00,5,14,.357,2,6,.333,7,7,1.000,0,1,1,2,0,0,3,1,19,9.5,+18
57,57,2005-03-06,27-221,SAS,,UTA,W (+7),1,35:00,7,11,.636,3,4,.750,14,15,.933,0,8,8,7,1,0,3,4,31,29.4,+4
58,58,2005-03-08,27-223,SAS,,NJN,W (+16),1,24:00,2,8,.250,0,3,.000,2,2,1.000,0,4,4,2,2,0,1,2,6,4.0,+3
59,59,2005-03-20,27-235,SAS,@,DET,L (-9),1,16:00,4,6,.667,2,3,.667,4,6,.667,1,3,4,3,0,0,1,1,14,12.9,+6
60,60,2005-03-21,27-236,SAS,@,NYK,L (-13),1,21:00,2,4,.500,0,2,.000,2,3,.667,0,1,1,0,3,1,3,2,6,3.8,0
