Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2008-04-19,30-266,SAS,,PHO,W (+2),0,45:00,10,24,.417,0,6,.000,4,5,.800,1,3,4,5,3,0,4,4,24,13.3,+9
2,2,2008-04-22,30-269,SAS,,PHO,W (+6),0,33:29,9,17,.529,3,5,.600,8,9,.889,1,2,3,3,1,1,4,2,29,20.6,+12
3,3,2008-04-25,30-272,SAS,@,PHO,W (+16),0,28:04,7,11,.636,4,7,.571,2,2,1.000,1,4,5,1,1,0,3,0,20,15.7,+12
4,4,2008-04-27,30-274,SAS,@,PHO,L (-19),0,21:11,4,8,.500,0,0,,2,2,1.000,0,4,4,1,0,1,4,2,10,3.8,-22
5,5,2008-04-29,30-276,SAS,,PHO,W (+5),0,27:18,2,11,.182,0,2,.000,4,5,.800,0,3,3,0,2,0,1,4,8,1.0,+1
6,6,2008-05-03,30-280,SAS,@,NOH,L (-19),0,32:05,7,14,.500,3,9,.333,2,4,.500,1,5,6,7,1,0,3,0,19,16.3,-4
7,7,2008-05-05,30-282,SAS,@,NOH,L (-18),0,27:46,4,10,.400,1,5,.200,4,4,1.000,2,2,4,7,0,0,5,5,13,7.5,-8
8,8,2008-05-08,30-285,SAS,,NOH,W (+11),1,39:37,11,22,.500,3,9,.333,6,6,1.000,2,2,4,6,0,0,3,3,31,22.0,+5
9,9,2008-05-11,30-288,SAS,,NOH,W (+20),1,31:55,5,13,.385,2,7,.286,3,3,1.000,1,3,4,8,1,1,4,3,15,11.6,+15
10,10,2008-05-13,30-290,SAS,@,NOH,L (-22),1,37:30,5,15,.333,3,7,.429,7,8,.875,0,2,2,7,0,0,1,2,20,14.8,-14
11,11,2008-05-15,30-292,SAS,,NOH,W (+19),1,33:28,9,15,.600,6,9,.667,1,2,.500,2,2,4,2,0,0,0,3,25,19.9,+12
12,12,2008-05-19,30-296,SAS,@,NOH,W (+9),1,41:34,6,19,.316,4,11,.364,10,11,.909,1,4,5,5,0,0,3,3,26,15.9,+4
13,13,2008-05-21,30-298,SAS,@,LAL,L (-4),1,37:42,3,13,.231,2,6,.333,2,2,1.000,1,3,4,3,1,0,4,3,10,1.6,-19
14,14,2008-05-23,30-300,SAS,@,LAL,L (-30),0,23:25,2,8,.250,0,4,.000,3,3,1.000,0,2,2,2,0,0,2,2,7,1.4,-12
15,15,2008-05-25,30-302,SAS,,LAL,W (+19),0,31:19,9,15,.600,5,7,.714,7,7,1.000,0,2,2,1,0,0,1,2,30,22.6,+17
16,16,2008-05-27,30-304,SAS,,LAL,L (-2),0,36:04,2,8,.250,1,4,.250,2,2,1.000,0,1,1,6,0,0,2,4,7,3.1,+3
17,17,2008-05-29,30-306,SAS,@,LAL,L (-8),0,31:21,3,9,.333,1,4,.250,2,2,1.000,1,6,7,3,0,2,3,5,9,4.9,+2
