Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,40-082,SAS,,MIN,W (+8),0,20:48,2,7,.286,1,4,.250,4,4,1.000,0,3,3,4,1,1,1,2,9,8.5,+6
2,2,2017-10-21,40-085,SAS,@,CHI,W (+10),0,22:35,2,7,.286,0,3,.000,1,2,.500,0,1,1,3,2,1,0,3,5,4.4,+3
3,3,2017-10-23,40-087,SAS,,TOR,W (+4),0,21:15,4,8,.500,1,2,.500,0,0,,1,1,2,1,1,0,2,2,9,4.9,-11
4,4,2017-10-25,40-089,SAS,@,MIA,W (+17),0,21:48,6,12,.500,2,5,.400,0,0,,0,3,3,1,0,0,0,2,14,8.8,+9
5,5,2017-10-27,40-091,SAS,@,ORL,L (-27),0,14:00,1,9,.111,0,4,.000,4,4,1.000,0,0,0,0,1,0,1,3,6,-1.1,-15
6,6,2017-10-29,40-093,SAS,@,IND,L (-3),0,21:20,0,6,.000,0,2,.000,3,4,.750,0,2,2,5,0,0,2,1,3,0.1,+7
7,,2017-10-30,40-094,SAS,@,BOS,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
8,7,2017-11-02,40-097,SAS,,GSW,L (-20),0,18:47,2,6,.333,1,2,.500,1,2,.500,0,2,2,0,0,0,3,1,6,-0.6,-14
9,8,2017-11-03,40-098,SAS,,CHO,W (+7),0,26:34,3,9,.333,0,4,.000,4,6,.667,0,4,4,5,2,0,3,3,10,6.6,+14
10,,2017-11-05,40-100,SAS,,PHO,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
11,9,2017-11-07,40-102,SAS,,LAC,W (+13),0,19:09,3,5,.600,0,2,.000,0,0,,0,2,2,4,2,0,1,2,6,7.3,+1
12,10,2017-11-10,40-105,SAS,,MIL,L (-7),0,24:29,7,10,.700,1,3,.333,3,3,1.000,1,0,1,3,2,1,2,3,18,16.1,-8
13,,2017-11-11,40-106,SAS,,CHI,W (+39),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,11,2017-11-14,40-109,SAS,@,DAL,W (+6),0,16:22,4,7,.571,1,2,.500,4,4,1.000,0,1,1,0,0,0,0,1,13,9.6,-2
15,12,2017-11-15,40-110,SAS,@,MIN,L (-12),0,18:04,1,6,.167,0,2,.000,0,0,,2,1,3,2,0,2,2,1,2,0.3,-7
16,13,2017-11-17,40-112,SAS,,OKC,W (+3),0,18:25,2,3,.667,2,2,1.000,2,2,1.000,0,3,3,0,0,0,6,2,8,0.8,-10
17,14,2017-11-20,40-115,SAS,,ATL,W (+11),0,25:38,7,11,.636,2,5,.400,0,0,,1,1,2,3,1,0,3,4,16,10.6,+11
18,15,2017-11-22,40-117,SAS,@,NOP,L (-17),0,12:27,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,0,3,0,0,-3.1,-15
19,16,2017-11-25,40-120,SAS,@,CHO,W (+20),0,19:58,4,8,.500,1,3,.333,2,2,1.000,1,0,1,1,0,0,0,2,11,7.6,+8
20,17,2017-11-27,40-122,SAS,,DAL,W (+7),0,16:55,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,0,2,0,2,-2.8,-5
