Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2007-10-30,30-094,SAS,,POR,W (+9),0,29:20,4,11,.364,1,5,.200,7,8,.875,1,2,3,8,5,1,2,3,16,18.9,-1
2,2,2007-10-31,30-095,SAS,@,MEM,W (+3),0,30:48,6,14,.429,5,9,.556,13,14,.929,2,3,5,7,2,1,1,3,30,29.9,+4
3,3,2007-11-02,30-097,SAS,,SAC,W (+16),0,24:33,3,5,.600,1,1,1.000,3,4,.750,2,3,5,3,0,0,5,3,10,5.5,+6
4,4,2007-11-06,30-101,SAS,@,HOU,L (-8),0,29:56,8,17,.471,0,2,.000,7,11,.636,0,2,2,3,5,2,1,2,23,20.0,+3
5,5,2007-11-07,30-102,SAS,,MIA,W (+10),0,34:51,8,12,.667,4,7,.571,5,8,.625,1,6,7,7,1,0,4,3,25,21.8,+23
6,6,2007-11-09,30-104,SAS,@,NOH,W (+12),0,32:21,4,11,.364,1,6,.167,5,5,1.000,1,9,10,3,2,1,2,0,14,14.1,+24
7,7,2007-11-11,30-106,SAS,,MIL,W (+25),0,18:42,6,9,.667,3,5,.600,6,6,1.000,0,3,3,1,2,0,1,3,21,18.5,+19
8,8,2007-11-13,30-108,SAS,,LAL,W (+15),0,26:41,6,12,.500,2,4,.500,3,3,1.000,2,2,4,5,2,0,1,1,17,17.1,+17
9,9,2007-11-15,30-110,SAS,@,DAL,L (-13),0,31:52,7,15,.467,1,4,.250,10,13,.769,3,6,9,7,3,0,4,3,25,22.7,-8
10,10,2007-11-16,30-111,SAS,,HOU,W (+6),0,29:24,5,14,.357,3,6,.500,6,6,1.000,2,7,9,7,1,1,6,4,19,13.7,+16
11,11,2007-11-20,30-115,SAS,@,ATL,W (+12),0,25:57,7,11,.636,2,3,.667,3,4,.750,1,3,4,0,2,0,3,0,19,14.3,+8
12,12,2007-11-21,30-116,SAS,,ORL,W (+18),0,35:41,8,17,.471,2,6,.333,9,10,.900,0,4,4,5,0,0,1,3,27,20.4,+17
13,13,2007-11-23,30-118,SAS,,MEM,W (+13),0,27:13,5,15,.333,1,5,.200,0,0,,1,3,4,4,1,0,2,1,11,5.5,+21
14,14,2007-11-25,30-120,SAS,@,SEA,W (+15),0,28:27,8,13,.615,4,6,.667,2,2,1.000,0,1,1,2,0,0,1,3,22,15.6,+15
15,15,2007-11-26,30-121,SAS,@,SAC,L (-13),0,26:57,3,12,.250,1,6,.167,2,2,1.000,1,5,6,7,0,0,2,5,9,4.9,-19
16,16,2007-11-28,30-123,SAS,,WAS,W (+15),0,26:53,6,11,.545,3,5,.600,4,6,.667,0,1,1,3,2,0,1,2,19,15.5,+2
17,17,2007-11-30,30-125,SAS,@,MIN,W (+15),0,33:15,11,16,.688,7,9,.778,2,2,1.000,0,3,3,4,3,0,4,1,31,26.5,+35
18,18,2007-12-02,30-127,SAS,,POR,W (+21),0,23:29,2,8,.250,1,4,.250,6,9,.667,0,5,5,2,0,1,0,2,11,7.8,+15
19,19,2007-12-05,30-130,SAS,,DAL,W (+2),1,39:01,12,24,.500,2,5,.400,11,12,.917,0,4,4,6,2,1,4,3,37,27.5,+5
20,20,2007-12-07,30-132,SAS,,UTA,W (+6),0,35:46,9,21,.429,2,7,.286,17,19,.895,3,5,8,6,3,1,3,2,37,32.8,+6
21,21,2007-12-11,30-136,SAS,@,GSW,L (-12),0,28:34,4,14,.286,1,3,.333,4,6,.667,1,2,3,1,1,1,5,1,13,2.3,-21
22,22,2007-12-13,30-138,SAS,@,LAL,L (-5),1,34:57,5,17,.294,1,7,.143,3,3,1.000,1,5,6,3,0,0,7,5,14,-0.6,-12
23,23,2007-12-15,30-140,SAS,,DEN,W (+11),0,27:47,4,11,.364,2,5,.400,1,1,1.000,0,4,4,7,1,0,4,2,11,7.2,+10
24,24,2007-12-17,30-142,SAS,,PHO,L (-5),0,32:26,6,19,.316,1,6,.167,5,6,.833,1,3,4,5,0,1,2,4,18,8.9,-13
25,25,2007-12-19,30-144,SAS,@,MEM,L (-3),0,32:44,7,21,.333,2,8,.250,4,6,.667,0,5,5,5,3,0,3,2,20,11.5,+9
26,26,2007-12-22,30-147,SAS,,LAC,W (+9),0,2:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
27,27,2008-01-06,30-162,SAS,@,LAC,W (+6),0,29:07,5,12,.417,1,5,.200,12,13,.923,1,4,5,2,1,1,2,3,23,18.0,+16
28,28,2008-01-07,30-163,SAS,@,GSW,L (-9),0,41:19,7,15,.467,3,6,.500,3,4,.750,1,5,6,4,0,1,5,5,20,10.6,-11
29,29,2008-01-10,30-166,SAS,,DET,L (-10),0,27:35,3,12,.250,0,3,.000,3,5,.600,1,3,4,2,1,1,2,2,9,2.9,-20
30,30,2008-01-12,30-168,SAS,,MIN,W (+17),0,27:15,6,10,.600,3,5,.600,7,10,.700,3,2,5,3,5,0,4,1,22,21.6,+11
31,31,2008-01-14,30-170,SAS,,PHI,W (+7),0,29:44,4,10,.400,4,8,.500,8,8,1.000,1,3,4,5,0,0,2,4,20,16.1,+8
32,32,2008-01-17,30-173,SAS,,CLE,L (-2),0,34:37,10,15,.667,4,6,.667,7,8,.875,1,3,4,4,2,0,4,3,31,25.3,+1
33,33,2008-01-19,30-175,SAS,@,HOU,L (-2),0,33:06,6,13,.462,4,7,.571,5,6,.833,0,5,5,4,0,0,2,3,21,15.0,-8
34,34,2008-01-21,30-177,SAS,@,CHA,W (+9),0,28:12,7,15,.467,1,3,.333,1,3,.333,1,4,5,6,4,1,1,1,16,16.9,+19
35,35,2008-01-23,30-179,SAS,,LAL,W (+12),0,32:50,3,16,.188,2,7,.286,4,6,.667,1,5,6,4,8,0,3,2,12,10.4,+7
36,36,2008-01-24,30-180,SAS,@,MIA,W (+1),0,37:26,5,12,.417,1,7,.143,7,8,.875,2,9,11,8,2,0,4,2,18,18.1,+4
37,37,2008-01-26,30-182,SAS,,NOH,L (-24),0,26:57,4,12,.333,1,4,.250,2,2,1.000,1,2,3,2,0,1,3,1,11,4.2,-6
38,38,2008-01-28,30-184,SAS,@,UTA,L (-6),0,30:24,9,16,.563,2,5,.400,9,9,1.000,2,2,4,3,0,0,4,4,29,19.9,-12
39,39,2008-01-29,30-185,SAS,@,SEA,L (-3),1,39:35,10,18,.556,4,7,.571,5,8,.625,0,4,4,7,0,0,1,2,29,23.5,+6
40,40,2008-01-31,30-187,SAS,@,PHO,W (+3),1,41:29,3,14,.214,1,5,.200,12,12,1.000,0,7,7,2,3,0,6,2,19,10.1,+6
41,41,2008-02-05,30-192,SAS,@,IND,W (+27),1,27:06,6,13,.462,3,6,.500,0,1,.000,1,2,3,7,0,0,1,3,15,11.9,+14
42,42,2008-02-06,30-193,SAS,@,WAS,W (+8),1,34:22,3,8,.375,0,2,.000,3,3,1.000,2,4,6,10,0,0,1,1,9,12.8,+12
43,43,2008-02-08,30-195,SAS,@,NYK,W (+6),1,41:59,6,16,.375,1,6,.167,7,10,.700,1,6,7,9,5,0,6,4,20,16.2,+14
44,44,2008-02-10,30-197,SAS,@,BOS,L (-8),1,38:03,7,15,.467,5,11,.455,2,2,1.000,0,4,4,4,2,1,6,5,21,12.0,-11
45,45,2008-02-11,30-198,SAS,@,TOR,W (+5),1,39:08,13,22,.591,6,12,.500,2,2,1.000,2,13,15,6,2,0,2,2,34,32.5,+11
46,46,2008-02-13,30-200,SAS,@,CLE,W (+7),1,40:34,15,20,.750,8,11,.727,8,9,.889,0,5,5,8,3,1,1,2,46,46.6,+12
47,47,2008-02-19,30-206,SAS,,CHA,W (+20),1,31:37,4,8,.500,1,4,.250,9,11,.818,0,4,4,3,0,1,6,4,18,9.6,+12
48,48,2008-02-21,30-208,SAS,@,MIN,W (+1),1,37:55,13,18,.722,7,9,.778,11,12,.917,2,1,3,4,1,0,2,2,44,38.9,0
49,49,2008-02-23,30-210,SAS,,NOH,W (+9),1,37:23,10,18,.556,4,8,.500,6,6,1.000,1,5,6,12,1,0,3,2,30,29.2,+8
50,50,2008-02-25,30-212,SAS,,ATL,W (+15),1,36:26,4,13,.308,3,6,.500,2,2,1.000,1,4,5,3,3,0,3,3,13,8.3,+20
51,51,2008-02-28,30-215,SAS,,DAL,W (+3),1,38:18,6,20,.300,1,7,.143,4,4,1.000,2,3,5,5,0,0,2,2,17,8.4,-11
52,52,2008-03-01,30-217,SAS,@,MIL,W (+2),1,33:08,10,17,.588,1,5,.200,9,11,.818,0,4,4,4,3,0,3,3,30,24.1,+5
53,53,2008-03-02,30-218,SAS,@,NJN,W (+10),0,29:25,6,13,.462,2,4,.500,3,4,.750,0,4,4,3,0,0,2,3,17,10.0,+5
54,54,2008-03-04,30-220,SAS,,NJN,W (+11),1,32:50,3,11,.273,1,4,.250,5,5,1.000,0,7,7,3,4,1,1,2,12,12.6,+10
55,55,2008-03-06,30-222,SAS,,IND,W (+11),1,27:42,10,13,.769,0,1,.000,8,9,.889,1,4,5,3,0,0,5,1,28,21.1,+16
56,56,2008-03-07,30-223,SAS,@,DEN,L (-13),1,28:08,9,17,.529,2,5,.400,4,4,1.000,0,4,4,5,0,0,1,3,24,18.2,-12
57,57,2008-03-09,30-225,SAS,@,PHO,L (-7),0,31:59,7,19,.368,4,6,.667,4,5,.800,0,5,5,2,1,0,5,4,22,8.4,+7
58,58,2008-03-10,30-226,SAS,,DEN,W (+4),1,32:03,4,11,.364,1,4,.250,4,4,1.000,0,3,3,14,2,0,2,2,13,16.8,0
59,59,2008-03-12,30-228,SAS,@,NOH,L (-25),1,31:05,5,10,.500,0,4,.000,1,1,1.000,0,3,3,4,3,0,3,1,11,9.3,-7
60,60,2008-03-14,30-230,SAS,@,DET,L (-4),1,34:51,4,10,.400,1,5,.200,0,0,,1,4,5,2,1,1,2,4,9,5.0,-4
61,61,2008-03-15,30-231,SAS,@,PHI,L (-7),1,37:44,7,12,.583,3,6,.500,5,5,1.000,3,4,7,6,0,1,3,5,22,19.6,0
62,62,2008-03-17,30-233,SAS,,BOS,L (-2),0,32:38,10,18,.556,4,7,.571,8,8,1.000,1,3,4,2,0,0,2,0,32,24.4,+5
63,63,2008-03-20,30-236,SAS,@,CHI,W (+22),0,26:37,1,8,.125,0,3,.000,4,4,1.000,0,4,4,2,2,0,3,0,6,2.4,+18
64,64,2008-03-21,30-237,SAS,,SAC,W (+13),0,26:54,3,5,.600,1,3,.333,2,2,1.000,0,2,2,5,0,1,2,2,9,8.7,+18
65,65,2008-03-23,30-239,SAS,@,DAL,W (+7),0,34:18,6,15,.400,3,8,.375,11,11,1.000,4,4,8,6,1,1,0,2,26,27.0,+13
66,66,2008-03-25,30-241,SAS,@,ORL,W (+10),0,33:15,10,19,.526,1,5,.200,7,7,1.000,1,1,2,5,0,0,3,2,28,19.4,+10
67,67,2008-03-26,30-242,SAS,,LAC,W (+9),0,30:45,5,11,.455,2,4,.500,1,2,.500,0,2,2,3,3,2,2,1,13,11.6,+10
68,68,2008-03-28,30-244,SAS,,MIN,W (+15),0,25:23,8,11,.727,5,8,.625,5,6,.833,0,1,1,3,0,0,1,1,26,22.1,+14
69,69,2008-03-30,30-246,SAS,,HOU,W (+21),0,26:57,3,8,.375,1,2,.500,7,8,.875,0,6,6,5,0,2,0,1,14,15.5,+14
70,70,2008-04-01,30-248,SAS,,GSW,W (+24),0,28:53,7,14,.500,1,3,.333,1,1,1.000,1,6,7,2,1,2,6,2,16,8.5,+28
71,71,2008-04-04,30-251,SAS,@,UTA,L (-26),0,25:36,2,10,.200,0,2,.000,4,4,1.000,0,3,3,1,0,2,2,2,8,2.0,-17
72,72,2008-04-06,30-253,SAS,@,POR,W (+7),0,29:42,3,5,.600,0,2,.000,4,5,.800,0,3,3,6,0,0,4,2,10,7.6,+3
