Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2005-04-24,27-270,SAS,,DEN,L (-6),1,37:00,7,15,.467,1,4,.250,8,9,.889,0,4,4,5,1,0,3,3,23,16.4,-2
2,2,2005-04-27,27-273,SAS,,DEN,W (+28),0,18:00,5,7,.714,2,3,.667,5,5,1.000,0,4,4,2,1,0,2,2,17,14.9,+13
3,3,2005-04-30,27-276,SAS,@,DEN,W (+8),0,31:00,10,21,.476,2,4,.500,10,13,.769,1,8,9,3,0,1,1,4,32,23.4,+7
4,4,2005-05-02,27-278,SAS,@,DEN,W (+11),0,37:00,5,13,.385,2,4,.500,12,16,.750,0,4,4,6,0,2,1,4,24,19.5,+18
5,5,2005-05-04,27-280,SAS,,DEN,W (+10),0,29:00,4,9,.444,3,7,.429,7,7,1.000,0,9,9,4,0,0,5,2,18,13.0,+12
6,6,2005-05-08,27-284,SAS,,SEA,W (+22),0,28:00,3,6,.500,1,2,.500,3,4,.750,1,5,6,4,0,0,3,0,10,8.6,+10
7,7,2005-05-10,27-286,SAS,,SEA,W (+17),0,31:00,9,11,.818,2,4,.500,8,10,.800,0,2,2,4,1,1,5,4,28,21.6,+10
8,8,2005-05-12,27-288,SAS,@,SEA,L (-1),0,30:00,5,11,.455,2,3,.667,6,10,.600,2,4,6,2,1,0,3,4,18,11.1,+9
9,9,2005-05-15,27-291,SAS,@,SEA,L (-12),0,25:00,4,10,.400,1,2,.500,6,8,.750,3,4,7,2,1,0,3,4,15,9.9,+2
10,10,2005-05-17,27-293,SAS,,SEA,W (+13),1,36:00,10,15,.667,4,6,.667,15,17,.882,2,2,4,6,2,0,1,5,39,36.9,+17
11,11,2005-05-19,27-295,SAS,@,SEA,W (+2),1,36:00,3,6,.500,1,3,.333,6,10,.600,0,6,6,7,2,0,5,3,13,10.9,+4
12,12,2005-05-22,27-298,SAS,@,PHO,W (+7),1,37:00,5,10,.500,1,2,.500,9,13,.692,0,6,6,5,1,0,2,3,20,16.5,+8
13,13,2005-05-24,27-300,SAS,@,PHO,W (+3),1,38:00,10,18,.556,3,7,.429,3,5,.600,0,4,4,4,1,0,2,2,26,18.8,+4
14,14,2005-05-28,27-304,SAS,,PHO,W (+10),1,35:00,6,12,.500,0,2,.000,6,7,.857,2,7,9,2,4,1,3,3,18,17.0,+8
15,15,2005-05-30,27-306,SAS,,PHO,L (-5),1,37:00,11,22,.500,3,6,.500,3,4,.750,0,4,4,7,1,0,0,2,28,22.9,+3
16,16,2005-06-01,27-308,SAS,@,PHO,W (+6),1,35:00,6,15,.400,2,6,.333,5,6,.833,0,8,8,6,3,0,4,1,19,15.7,+15
17,17,2005-06-09,27-316,SAS,,DET,W (+15),1,39:00,10,16,.625,2,4,.500,4,4,1.000,3,6,9,2,1,0,4,3,26,19.9,+16
18,18,2005-06-12,27-319,SAS,,DET,W (+21),1,32:00,6,8,.750,4,5,.800,11,13,.846,1,2,3,7,3,0,3,3,27,28.0,+25
19,19,2005-06-14,27-321,SAS,@,DET,L (-17),1,29:00,2,6,.333,1,3,.333,2,2,1.000,0,4,4,0,0,0,6,4,7,-2.8,-4
20,20,2005-06-16,27-323,SAS,@,DET,L (-31),1,32:00,4,9,.444,1,5,.200,3,4,.750,0,4,4,3,1,1,2,3,12,8.7,-12
21,21,2005-06-19,27-326,SAS,@,DET,W (+1),1,44:00,5,16,.313,0,4,.000,5,5,1.000,3,3,6,9,1,0,2,4,15,12.5,+14
22,22,2005-06-21,27-328,SAS,,DET,L (-9),1,41:00,7,17,.412,2,8,.250,5,8,.625,1,9,10,3,2,0,3,3,21,14.0,-13
23,23,2005-06-23,27-330,SAS,,DET,W (+7),1,35:00,8,13,.615,2,2,1.000,5,5,1.000,0,5,5,4,1,0,3,3,23,18.2,+5
