Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2006-04-22,28-268,SAS,,SAC,W (+34),1,22:41,5,10,.500,0,1,.000,0,0,,1,4,5,2,0,0,3,2,10,4.5,+16
2,2,2006-04-25,28-271,SAS,,SAC,W (+9),1,35:54,10,20,.500,3,8,.375,9,12,.750,0,2,2,9,1,0,0,4,32,27.1,+19
3,3,2006-04-28,28-274,SAS,@,SAC,L (-1),1,32:03,3,9,.333,0,3,.000,2,3,.667,0,4,4,4,0,0,7,3,8,-1.7,-4
4,4,2006-04-30,28-276,SAS,@,SAC,L (-18),1,24:40,1,4,.250,0,2,.000,1,1,1.000,1,2,3,2,0,0,1,2,3,1.5,-10
5,5,2006-05-02,28-278,SAS,,SAC,W (+11),1,36:01,9,14,.643,1,2,.500,8,8,1.000,0,9,9,4,0,2,4,2,27,22.9,+12
6,6,2006-05-05,28-281,SAS,@,SAC,W (+22),1,32:12,4,10,.400,1,4,.250,1,3,.333,0,6,6,5,2,0,1,3,10,8.9,+27
7,7,2006-05-07,28-283,SAS,,DAL,W (+2),1,36:31,5,14,.357,0,2,.000,5,6,.833,1,4,5,0,4,0,4,4,15,7.1,+5
8,8,2006-05-09,28-285,SAS,,DAL,L (-22),1,27:48,4,11,.364,0,3,.000,5,7,.714,0,2,2,1,0,1,0,2,13,7.3,-6
9,9,2006-05-13,28-289,SAS,@,DAL,L (-1),0,32:04,7,16,.438,0,2,.000,10,11,.909,0,4,4,1,0,0,2,4,24,13.5,+5
10,10,2006-05-15,28-291,SAS,@,DAL,L (-5),0,26:43,8,11,.727,4,4,1.000,6,6,1.000,3,0,3,2,4,0,1,6,26,25.6,+8
11,11,2006-05-17,28-293,SAS,,DAL,W (+1),1,39:26,6,13,.462,1,3,.333,5,8,.625,1,3,4,5,2,1,3,3,18,13.7,-3
12,12,2006-05-19,28-295,SAS,@,DAL,W (+5),1,38:02,8,14,.571,2,5,.400,12,13,.923,2,8,10,2,3,1,3,3,30,27.7,+17
13,13,2006-05-22,28-298,SAS,,DAL,L (-8),1,42:07,6,11,.545,2,3,.667,9,9,1.000,0,2,2,2,3,2,4,5,23,18.1,-3
