Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-28,38-092,SAS,@,OKC,L (-6),0,18:50,5,8,.625,1,1,1.000,0,0,,0,0,0,7,2,0,3,0,11,11.3,-4
2,2,2015-10-30,38-094,SAS,,BRK,W (+27),0,21:37,5,12,.417,2,6,.333,0,0,,0,5,5,4,1,1,1,0,12,10.6,+16
3,3,2015-11-01,38-096,SAS,@,BOS,W (+8),0,23:54,4,8,.500,2,4,.500,3,4,.750,1,7,8,3,3,0,3,2,13,12.7,+12
4,4,2015-11-02,38-097,SAS,@,NYK,W (+10),0,17:06,3,5,.600,1,2,.500,0,0,,0,0,0,3,0,0,2,0,7,4.8,-6
5,5,2015-11-04,38-099,SAS,@,WAS,L (-3),0,21:52,4,7,.571,2,4,.500,2,2,1.000,0,2,2,2,1,0,0,0,12,11.7,+9
6,6,2015-11-07,38-102,SAS,,CHO,W (+20),0,18:07,5,9,.556,3,6,.500,0,0,,0,3,3,3,3,0,1,2,13,12.9,+34
7,7,2015-11-09,38-104,SAS,@,SAC,W (+18),0,17:39,2,7,.286,0,4,.000,2,3,.667,1,2,3,5,2,0,3,1,6,4.9,-1
8,8,2015-11-11,38-106,SAS,@,POR,W (+12),0,22:18,6,12,.500,1,2,.500,1,1,1.000,4,1,5,3,0,0,0,3,14,12.0,+14
9,,2015-11-14,38-109,SAS,,PHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9,2015-11-16,38-111,SAS,,POR,W (+13),0,23:22,7,14,.500,2,6,.333,1,1,1.000,0,4,4,3,0,1,0,2,17,13.2,+18
11,,2015-11-18,38-113,SAS,,DEN,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2015-11-20,38-115,SAS,@,NOP,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10,2015-11-21,38-116,SAS,,MEM,W (+10),0,22:39,6,11,.545,2,4,.500,1,2,.500,1,3,4,2,1,0,1,1,15,11.9,+9
14,11,2015-11-23,38-118,SAS,,PHO,W (+14),0,19:28,3,8,.375,2,4,.500,0,0,,1,3,4,2,1,0,3,1,8,4.2,+2
15,12,2015-11-25,38-120,SAS,,DAL,W (+5),0,28:32,2,12,.167,0,6,.000,5,8,.625,0,5,5,3,1,0,4,2,9,0.0,+4
16,,2015-11-27,38-122,SAS,@,DEN,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,13,2015-11-28,38-123,SAS,,ATL,W (+20),0,18:48,3,8,.375,0,4,.000,6,6,1.000,0,1,1,3,1,0,4,2,12,6.2,+11
18,14,2015-11-30,38-125,SAS,@,CHI,L (-3),0,17:42,1,4,.250,0,1,.000,2,2,1.000,0,1,1,2,1,0,1,1,4,2.9,-17
