Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2010-10-27,33-091,SAS,,IND,W (+13),1,31:54,6,14,.429,5,9,.556,5,5,1.000,1,2,3,4,2,1,3,2,22,17.6,+7
2,2,2010-10-30,33-094,SAS,,NOH,L (-9),1,36:51,8,19,.421,2,11,.182,5,5,1.000,0,2,2,6,2,0,2,1,23,17.3,-4
3,3,2010-11-01,33-096,SAS,@,LAC,W (+9),1,27:56,4,10,.400,1,3,.333,5,6,.833,0,2,2,7,4,0,3,3,14,13.5,+3
4,4,2010-11-03,33-098,SAS,@,PHO,W (+2),1,32:59,6,12,.500,1,4,.250,5,8,.625,0,3,3,5,0,0,4,3,18,10.0,-1
5,5,2010-11-06,33-101,SAS,,HOU,W (+3),1,39:43,11,24,.458,4,11,.364,2,2,1.000,0,3,3,5,2,1,4,4,28,17.1,0
6,6,2010-11-08,33-103,SAS,@,CHA,W (+4),1,33:42,9,17,.529,5,11,.455,3,3,1.000,2,3,5,3,2,0,3,0,26,21.1,+2
7,7,2010-11-10,33-105,SAS,,LAC,W (+12),1,35:42,6,9,.667,3,5,.600,7,7,1.000,2,2,4,4,1,1,4,1,22,20.2,+10
8,8,2010-11-13,33-108,SAS,,PHI,W (+23),1,25:12,6,10,.600,3,5,.600,3,3,1.000,0,1,1,1,2,1,3,0,18,14.1,+29
9,9,2010-11-14,33-109,SAS,@,OKC,W (+13),1,30:47,4,14,.286,2,5,.400,11,11,1.000,2,1,3,4,1,1,1,3,21,16.8,+5
10,10,2010-11-17,33-112,SAS,,CHI,W (+9),1,34:35,7,12,.583,2,3,.667,4,6,.667,0,4,4,5,2,0,3,1,20,16.9,+12
11,11,2010-11-19,33-114,SAS,@,UTA,W (+12),1,35:07,5,15,.333,1,7,.143,4,4,1.000,0,2,2,4,2,0,1,1,15,10.5,+7
12,12,2010-11-20,33-115,SAS,,CLE,W (+24),1,26:35,4,7,.571,2,5,.400,3,4,.750,0,4,4,6,3,0,0,2,13,16.9,+23
13,13,2010-11-22,33-117,SAS,,ORL,W (+9),1,34:45,8,17,.471,3,7,.429,6,6,1.000,0,6,6,9,1,0,3,1,25,22.0,+6
14,14,2010-11-24,33-119,SAS,@,MIN,W (+4),1,37:59,8,17,.471,4,10,.400,6,7,.857,1,5,6,6,2,1,4,3,26,20.8,+7
15,15,2010-11-26,33-121,SAS,,DAL,L (-9),1,34:11,9,16,.563,4,8,.500,9,9,1.000,0,3,3,4,1,0,4,4,31,22.5,-3
16,16,2010-11-28,33-123,SAS,@,NOH,W (+14),1,34:24,8,17,.471,3,8,.375,4,4,1.000,2,5,7,8,2,1,0,1,23,25.1,+14
17,17,2010-11-30,33-125,SAS,@,GSW,W (+20),1,30:26,8,13,.615,3,7,.429,8,9,.889,0,6,6,3,5,0,2,2,27,26.8,+31
18,18,2010-12-01,33-126,SAS,@,LAC,L (-5),1,34:01,5,15,.333,1,6,.167,4,6,.667,1,5,6,6,1,0,0,2,15,12.3,-4
19,19,2010-12-03,33-128,SAS,,MIN,W (+6),1,33:14,1,10,.100,1,7,.143,13,13,1.000,0,1,1,4,1,1,2,1,16,11.8,+12
20,20,2010-12-05,33-130,SAS,,NOH,W (+25),1,22:11,2,5,.400,2,4,.500,2,2,1.000,0,2,2,5,2,0,1,0,8,10.4,+27
21,21,2010-12-08,33-133,SAS,,GSW,W (+17),1,27:49,4,11,.364,2,5,.400,2,2,1.000,0,3,3,8,3,0,2,2,12,12.6,+21
22,22,2010-12-10,33-135,SAS,,ATL,W (+16),1,24:51,7,14,.500,0,4,.000,4,5,.800,0,3,3,0,1,0,6,3,18,5.3,-4
23,23,2010-12-12,33-137,SAS,,POR,W (+17),1,29:40,6,12,.500,2,7,.286,4,5,.800,0,3,3,4,0,0,3,1,18,11.9,+8
24,24,2010-12-15,33-140,SAS,,MIL,W (+2),1,30:29,9,13,.692,2,3,.667,6,9,.667,1,5,6,4,1,0,4,1,26,20.9,0
25,25,2010-12-16,33-141,SAS,@,DEN,W (+1),1,30:54,5,15,.333,2,10,.200,4,4,1.000,0,3,3,4,1,0,1,3,16,10.0,+3
26,26,2010-12-18,33-143,SAS,,MEM,W (+6),1,37:31,4,10,.400,1,3,.333,6,7,.857,1,2,3,9,1,1,2,1,15,16.1,+24
27,27,2010-12-20,33-145,SAS,,PHO,W (+8),1,36:07,4,11,.364,2,9,.222,5,6,.833,0,2,2,3,3,1,2,1,15,12.5,+18
28,28,2010-12-22,33-147,SAS,,DEN,W (+6),1,35:45,6,15,.400,4,9,.444,6,8,.750,2,2,4,6,1,1,0,2,22,20.2,+14
29,29,2010-12-23,33-148,SAS,@,ORL,L (-22),1,19:59,3,10,.300,1,3,.333,3,4,.750,3,2,5,6,0,1,2,1,10,9.0,-11
30,30,2010-12-26,33-151,SAS,,WAS,W (+14),1,28:59,8,13,.615,5,7,.714,0,0,,0,0,0,1,3,0,1,1,21,17.4,-1
31,31,2010-12-28,33-153,SAS,,LAL,W (+15),1,31:35,3,12,.250,2,7,.286,1,2,.500,2,2,4,6,3,1,4,3,9,6.1,+5
32,32,2010-12-30,33-155,SAS,@,DAL,W (+6),1,30:20,4,11,.364,4,8,.500,3,5,.600,0,8,8,3,0,1,3,2,15,9.5,+8
33,33,2011-01-01,33-157,SAS,,OKC,W (+27),1,25:10,2,11,.182,2,7,.286,3,4,.750,0,1,1,7,1,0,2,0,9,5.9,+21
34,34,2011-01-04,33-160,SAS,@,NYK,L (-13),1,33:35,5,11,.455,1,4,.250,4,4,1.000,0,5,5,5,1,1,3,2,15,12.2,-14
35,35,2011-01-05,33-161,SAS,@,BOS,L (-2),1,33:31,7,12,.583,3,6,.500,7,8,.875,2,6,8,3,5,0,4,2,24,23.5,-10
36,36,2011-01-07,33-163,SAS,@,IND,W (+3),1,34:28,6,15,.400,3,8,.375,10,13,.769,1,3,4,4,3,0,2,3,25,19.9,-1
37,37,2011-01-09,33-165,SAS,,MIN,W (+3),1,34:39,7,16,.438,2,5,.400,5,6,.833,2,5,7,3,4,1,4,2,21,17.1,+9
38,38,2011-01-11,33-167,SAS,@,MIN,W (+11),1,29:25,6,13,.462,2,6,.333,5,5,1.000,3,6,9,6,2,0,3,4,19,17.8,+15
39,39,2011-01-12,33-168,SAS,@,MIL,W (+7),1,29:33,8,15,.533,2,5,.400,5,5,1.000,1,6,7,4,1,0,1,3,23,19.8,+23
40,40,2011-01-14,33-170,SAS,,DAL,W (+12),1,23:49,4,11,.364,0,1,.000,3,3,1.000,0,1,1,1,0,0,1,0,11,4.9,+22
41,41,2011-01-16,33-172,SAS,,DEN,W (+13),1,33:13,5,15,.333,1,6,.167,7,7,1.000,0,3,3,7,2,1,3,2,18,14.2,+2
42,42,2011-01-19,33-175,SAS,,TOR,W (+9),1,35:56,4,13,.308,1,5,.200,14,14,1.000,1,3,4,7,1,0,4,3,23,17.8,+2
43,43,2011-01-21,33-177,SAS,,NYK,W (+9),1,30:44,5,18,.278,0,5,.000,6,6,1.000,0,1,1,6,2,1,0,3,16,11.4,+9
44,44,2011-01-22,33-178,SAS,@,NOH,L (-24),1,22:10,2,8,.250,0,2,.000,0,0,,0,2,2,6,1,0,4,1,4,0.6,-11
45,45,2011-01-24,33-180,SAS,@,GSW,W (+11),1,31:21,5,11,.455,3,4,.750,7,11,.636,1,3,4,7,1,0,1,2,20,18.4,0
46,46,2011-01-26,33-182,SAS,@,UTA,W (+7),1,35:25,8,15,.533,2,5,.400,8,9,.889,1,5,6,7,2,0,2,1,26,25.0,+3
47,47,2011-01-29,33-185,SAS,,HOU,W (+13),1,29:31,7,11,.636,4,6,.667,4,4,1.000,1,0,1,4,2,0,1,1,22,21.2,+9
48,48,2011-02-01,33-188,SAS,@,POR,L (-13),1,32:26,6,18,.333,3,8,.375,2,2,1.000,1,3,4,2,4,0,2,3,17,10.6,-3
49,49,2011-02-03,33-190,SAS,@,LAL,W (+1),1,36:59,5,17,.294,1,5,.200,3,3,1.000,1,4,5,8,0,1,3,4,14,7.7,+10
50,50,2011-02-04,33-191,SAS,@,SAC,W (+13),1,26:21,3,8,.375,1,4,.250,2,2,1.000,0,3,3,6,1,0,2,1,9,8.3,+20
51,51,2011-02-08,33-195,SAS,@,DET,W (+11),1,30:44,4,10,.400,2,5,.400,3,4,.750,0,5,5,6,0,0,1,1,13,11.5,+5
52,52,2011-02-09,33-196,SAS,@,TOR,W (+11),1,28:59,6,11,.545,0,3,.000,0,1,.000,1,3,4,9,1,0,3,3,12,11.0,+14
53,53,2011-02-11,33-198,SAS,@,PHI,L (-6),1,33:53,2,10,.200,0,5,.000,4,6,.667,0,4,4,6,1,0,3,5,8,2.4,+2
54,54,2011-02-12,33-199,SAS,@,WAS,W (+24),0,8:11,3,5,.600,0,1,.000,0,0,,0,1,1,0,0,0,0,0,6,4.0,+11
55,55,2011-02-14,33-201,SAS,@,NJN,W (+17),1,29:31,6,14,.429,2,4,.500,8,8,1.000,0,4,4,3,0,1,2,3,22,15.4,+21
56,56,2011-02-17,33-204,SAS,@,CHI,L (-10),1,31:48,6,18,.333,1,5,.200,3,4,.750,0,1,1,3,1,0,1,2,16,7.0,-10
57,57,2011-02-23,33-210,SAS,,OKC,W (+4),1,32:57,2,13,.154,1,5,.200,6,6,1.000,0,5,5,9,1,0,0,1,11,11.1,-10
58,58,2011-02-25,33-212,SAS,,NJN,W (+10),1,33:13,8,16,.500,1,4,.250,9,10,.900,0,6,6,5,3,1,4,2,26,21.8,+12
59,59,2011-02-27,33-214,SAS,,MEM,W (+7),1,36:24,10,22,.455,2,8,.250,13,16,.813,0,6,6,8,2,1,4,3,35,27.3,+11
60,60,2011-03-01,33-216,SAS,@,MEM,L (-16),1,21:05,3,8,.375,0,4,.000,3,3,1.000,0,2,2,7,1,0,1,3,9,8.9,-11
61,61,2011-03-02,33-217,SAS,@,CLE,W (+10),1,27:35,5,10,.500,1,3,.333,2,2,1.000,1,8,9,6,1,0,2,3,13,13.1,+21
62,62,2011-03-04,33-219,SAS,,MIA,W (+30),1,26:51,7,15,.467,3,8,.375,3,4,.750,1,2,3,7,2,0,0,2,20,19.3,+20
63,63,2011-03-06,33-221,SAS,,LAL,L (-16),1,23:25,3,10,.300,0,3,.000,0,1,.000,0,1,1,3,0,0,1,3,6,0.0,-14
64,64,2011-03-09,33-224,SAS,,DET,W (+7),1,30:18,8,11,.727,1,2,.500,0,1,.000,0,2,2,5,1,1,3,1,17,14.5,+10
65,65,2011-03-11,33-226,SAS,,SAC,W (+5),1,33:23,7,14,.500,3,7,.429,7,8,.875,2,2,4,7,2,0,4,1,24,21.1,+8
66,66,2011-03-12,33-227,SAS,@,HOU,W (+8),1,34:27,5,15,.333,3,7,.429,6,7,.857,0,0,0,3,3,0,1,4,19,12.6,+9
67,67,2011-03-14,33-229,SAS,@,MIA,L (-30),1,30:47,4,9,.444,0,3,.000,4,6,.667,1,5,6,5,1,1,3,3,12,9.7,-21
68,68,2011-03-18,33-233,SAS,@,DAL,W (+6),1,33:13,7,16,.438,3,5,.600,8,8,1.000,0,2,2,5,3,1,2,2,25,21.6,+5
69,69,2011-03-19,33-234,SAS,,CHA,W (+11),1,18:33,3,6,.500,2,3,.667,3,3,1.000,0,5,5,6,0,0,0,0,11,13.7,+10
70,70,2011-03-21,33-236,SAS,,GSW,W (+15),1,31:19,9,18,.500,4,9,.444,6,6,1.000,0,3,3,3,3,0,3,0,28,22.0,+11
71,71,2011-03-23,33-238,SAS,@,DEN,L (-3),1,36:35,7,18,.389,4,12,.333,2,2,1.000,0,4,4,2,1,1,2,3,20,11.3,+4
72,72,2011-03-25,33-240,SAS,@,POR,L (-2),1,34:07,8,15,.533,4,8,.500,1,2,.500,0,3,3,7,1,0,5,4,21,13.5,-3
73,73,2011-03-27,33-242,SAS,@,MEM,L (-7),1,19:18,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,0,2,2,2,0.2,+1
74,74,2011-03-31,33-246,SAS,,BOS,L (-10),1,33:18,4,13,.308,1,6,.167,0,0,,0,3,3,6,0,0,1,5,9,3.6,-1
75,75,2011-04-01,33-247,SAS,@,HOU,L (-5),1,38:33,7,17,.412,2,6,.333,7,8,.875,1,6,7,6,3,0,2,3,23,20.0,+3
76,76,2011-04-03,33-249,SAS,,PHO,W (+17),1,23:43,3,8,.375,0,2,.000,0,0,,0,3,3,2,0,0,0,2,6,3.1,+20
77,77,2011-04-05,33-251,SAS,@,ATL,W (+7),1,30:40,6,12,.500,0,2,.000,6,6,1.000,0,1,1,4,1,1,3,3,18,12.6,+12
78,78,2011-04-06,33-252,SAS,,SAC,W (+32),1,28:37,10,16,.625,4,6,.667,1,1,1.000,0,4,4,5,1,1,1,2,25,22.4,+20
79,79,2011-04-09,33-255,SAS,,UTA,W (+9),1,27:21,4,6,.667,0,0,,4,4,1.000,0,4,4,6,1,0,1,4,12,13.2,+5
80,80,2011-04-13,33-259,SAS,@,PHO,L (-3),1,2:14,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-1
