Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-10-25,39-089,SAS,@,GSW,W (+29),0,20:52,4,10,.400,2,6,.333,0,0,,0,5,5,2,1,0,0,1,10,8.1,+22
2,2,2016-10-27,39-091,SAS,@,SAC,W (+8),0,19:22,3,9,.333,2,6,.333,0,0,,0,3,3,5,0,1,1,2,8,6.2,+19
3,,2016-10-29,39-093,SAS,,NOP,W (+19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2016-10-30,39-094,SAS,@,MIA,W (+7),0,27:30,2,8,.250,0,1,.000,0,0,,2,4,6,2,2,0,5,3,4,-1.0,+1
5,4,2016-11-01,39-096,SAS,,UTA,L (-15),0,23:07,1,5,.200,1,3,.333,5,5,1.000,0,1,1,3,1,0,3,0,8,5.3,-23
6,5,2016-11-04,39-099,SAS,@,UTA,W (+14),0,14:07,4,7,.571,1,1,1.000,0,0,,0,3,3,0,0,1,1,2,9,5.5,+13
7,6,2016-11-05,39-100,SAS,,LAC,L (-24),0,12:53,2,6,.333,1,3,.333,2,2,1.000,0,4,4,1,0,0,1,1,7,4.1,-15
8,7,2016-11-09,39-104,SAS,,HOU,L (-2),0,20:50,1,7,.143,0,2,.000,6,6,1.000,0,1,1,3,2,0,1,2,8,6.1,-9
9,8,2016-11-11,39-106,SAS,,DET,W (+10),0,16:01,4,4,1.000,2,2,1.000,0,1,.000,0,1,1,1,1,0,2,0,10,8.4,+6
10,9,2016-11-12,39-107,SAS,@,HOU,W (+6),0,15:31,5,7,.714,2,2,1.000,0,0,,0,2,2,3,0,1,0,2,12,11.7,+5
11,10,2016-11-14,39-109,SAS,,MIA,W (+4),0,16:59,2,5,.400,2,2,1.000,0,0,,0,3,3,2,0,0,2,1,6,3.2,0
12,11,2016-11-16,39-111,SAS,@,SAC,W (+5),0,15:36,1,5,.200,0,3,.000,0,0,,0,1,1,2,2,0,1,1,2,1.2,-12
13,12,2016-11-18,39-113,SAS,@,LAL,W (+9),0,21:20,4,6,.667,2,4,.500,0,0,,0,0,0,3,0,1,1,3,10,8.0,+11
14,13,2016-11-21,39-116,SAS,,DAL,W (+5),0,24:41,2,6,.333,2,5,.400,2,2,1.000,1,3,4,3,3,0,2,1,8,8.9,+3
15,14,2016-11-23,39-118,SAS,@,CHO,W (+5),0,16:08,1,6,.167,1,3,.333,2,2,1.000,0,3,3,2,2,0,0,3,5,4.3,-3
16,15,2016-11-25,39-120,SAS,@,BOS,W (+6),0,21:44,0,6,.000,0,4,.000,3,4,.750,1,1,2,2,0,0,2,2,3,-2.0,+5
17,,2016-11-26,39-121,SAS,@,WAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,16,2016-11-29,39-124,SAS,,ORL,L (-12),0,22:31,4,9,.444,2,5,.400,3,4,.750,4,2,6,3,2,0,2,3,13,12.2,0
