Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-26,34-151,SAS,,MEM,W (+13),1,31:22,7,15,.467,3,8,.375,7,8,.875,1,4,5,4,3,1,2,1,24,21.9,+17
2,2,2011-12-28,34-153,SAS,,LAC,W (+25),1,27:15,6,10,.600,5,8,.625,7,7,1.000,0,3,3,6,1,0,0,2,24,24.7,+14
3,3,2011-12-29,34-154,SAS,@,HOU,L (-20),1,19:57,4,8,.500,0,2,.000,0,0,,1,4,5,1,1,1,3,2,8,4.5,-21
4,4,2011-12-31,34-156,SAS,,UTA,W (+15),1,24:25,9,10,.900,5,6,.833,0,0,,0,4,4,2,0,0,3,1,23,18.8,+20
5,5,2012-01-02,34-158,SAS,@,MIN,L (-10),1,12:40,3,6,.500,1,3,.333,1,1,1.000,0,2,2,2,1,0,0,1,8,7.6,-5
6,6,2012-02-11,34-198,SAS,@,NJN,W (+14),0,17:09,4,7,.571,0,2,.000,0,0,,0,1,1,4,0,0,1,0,8,6.8,+1
7,7,2012-02-14,34-201,SAS,@,DET,W (+4),0,24:48,0,4,.000,0,1,.000,1,2,.500,0,2,2,7,0,1,1,3,1,1.8,+17
8,8,2012-02-15,34-202,SAS,@,TOR,W (+7),0,20:07,3,4,.750,1,2,.500,4,5,.800,0,3,3,1,0,0,2,2,11,7.8,+4
9,9,2012-02-18,34-205,SAS,@,LAC,W (+3),0,18:16,1,3,.333,0,2,.000,0,0,,0,1,1,3,0,1,1,2,2,1.6,-5
10,10,2012-03-04,34-220,SAS,,DEN,L (-5),0,23:42,2,5,.400,2,3,.667,2,2,1.000,0,4,4,5,0,0,1,3,8,7.8,+6
11,11,2012-03-07,34-223,SAS,,NYK,W (+13),0,25:35,7,10,.700,3,5,.600,0,2,.000,0,4,4,6,1,1,4,2,17,14.3,+17
12,12,2012-03-09,34-225,SAS,,LAC,L (-12),0,27:56,6,10,.600,4,6,.667,6,6,1.000,1,2,3,6,1,0,4,1,22,19.5,-13
13,13,2012-03-12,34-228,SAS,,WAS,W (+15),1,19:50,4,7,.571,0,1,.000,0,0,,0,1,1,7,0,0,0,2,8,9.1,-4
14,14,2012-03-14,34-230,SAS,,ORL,W (+11),0,22:44,5,10,.500,4,7,.571,0,0,,1,2,3,3,0,0,1,3,14,10.2,+11
15,15,2012-03-17,34-233,SAS,@,DAL,L (-7),0,24:22,3,11,.273,2,7,.286,1,2,.500,0,3,3,6,0,0,2,4,9,3.6,+4
16,16,2012-03-21,34-237,SAS,,MIN,W (+16),0,25:09,4,9,.444,1,3,.333,0,0,,1,3,4,8,0,0,1,1,9,10.1,+10
17,17,2012-03-23,34-239,SAS,,DAL,W (+17),1,27:54,4,11,.364,2,5,.400,1,1,1.000,0,7,7,7,2,1,3,4,11,10.0,+19
18,18,2012-03-25,34-241,SAS,,PHI,W (+17),0,26:35,5,13,.385,0,5,.000,1,1,1.000,1,4,5,5,3,2,2,3,11,10.5,+6
19,19,2012-03-27,34-243,SAS,@,PHO,W (+7),0,27:10,6,10,.600,1,4,.250,0,0,,2,3,5,5,1,0,1,1,13,13.8,+4
20,20,2012-03-28,34-244,SAS,@,SAC,W (+5),0,25:07,8,12,.667,3,4,.750,1,1,1.000,0,1,1,5,0,1,4,2,20,14.5,-1
21,21,2012-03-31,34-247,SAS,,IND,W (+9),0,27:59,6,10,.600,2,4,.500,4,4,1.000,0,2,2,5,2,0,3,2,18,15.7,+5
22,22,2012-04-03,34-250,SAS,@,CLE,W (+35),0,18:46,2,4,.500,1,1,1.000,2,2,1.000,1,5,6,6,2,0,1,1,7,12.0,+21
23,23,2012-04-04,34-251,SAS,@,BOS,W (+1),0,24:46,2,6,.333,0,3,.000,1,1,1.000,1,1,2,2,0,0,5,1,5,-1.4,-12
24,24,2012-04-06,34-253,SAS,,NOH,W (+25),0,21:22,5,6,.833,2,2,1.000,2,2,1.000,0,2,2,4,0,1,1,0,14,14.9,+29
25,25,2012-04-08,34-255,SAS,,UTA,W (+10),0,28:16,4,10,.400,1,6,.167,14,15,.933,1,4,5,2,0,1,1,3,23,19.0,+3
