Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2012-10-31,35-095,SAS,@,NOH,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2012-11-01,35-096,SAS,,OKC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2012-11-03,35-098,SAS,,UTA,W (+10),0,15:30,4,7,.571,0,2,.000,0,0,,0,2,2,2,1,1,2,0,8,6.4,0
4,2,2012-11-05,35-100,SAS,,IND,W (+22),0,17:03,1,4,.250,0,2,.000,1,2,.500,0,2,2,7,2,0,4,0,3,3.7,+19
5,3,2012-11-07,35-102,SAS,@,LAC,L (-22),0,19:05,2,8,.250,2,5,.400,3,3,1.000,0,1,1,2,0,1,1,2,9,4.8,-10
6,4,2012-11-09,35-104,SAS,@,SAC,W (+11),0,25:07,2,8,.250,0,3,.000,3,3,1.000,0,3,3,5,0,0,4,2,7,1.8,+10
7,5,2012-11-10,35-105,SAS,@,POR,W (+3),0,28:02,5,8,.625,1,3,.333,6,8,.750,1,3,4,4,2,0,3,4,17,14.4,+4
8,6,2012-11-13,35-108,SAS,@,LAL,W (+2),0,18:44,1,8,.125,0,4,.000,1,2,.500,0,1,1,3,0,0,2,2,3,-3.0,+3
9,7,2012-11-15,35-110,SAS,,NYK,L (-4),0,26:17,4,8,.500,1,5,.200,3,4,.750,0,2,2,4,1,0,3,2,12,8.2,+7
10,8,2012-11-17,35-112,SAS,,DEN,W (+26),0,23:14,7,10,.700,5,7,.714,1,2,.500,0,1,1,4,1,0,2,3,20,16.3,+13
11,9,2012-11-19,35-114,SAS,,LAC,L (-5),0,27:52,3,11,.273,1,3,.333,8,10,.800,0,5,5,5,1,0,3,3,15,9.5,-6
12,10,2012-11-21,35-116,SAS,@,BOS,W (+12),0,23:37,2,8,.250,1,3,.333,0,0,,0,3,3,4,2,0,0,3,5,4.7,+24
13,11,2012-11-23,35-118,SAS,@,IND,W (+7),0,28:05,7,18,.389,1,7,.143,4,4,1.000,1,1,2,3,2,2,1,0,19,14.7,+3
14,12,2012-11-25,35-120,SAS,@,TOR,W (+5),0,36:10,5,15,.333,1,7,.143,4,4,1.000,0,7,7,5,1,0,0,2,15,12.3,+8
15,13,2012-11-26,35-121,SAS,@,WAS,W (+26),0,20:25,5,8,.625,2,3,.667,0,0,,0,5,5,5,1,0,1,1,12,13.0,+23
16,14,2012-11-28,35-123,SAS,@,ORL,W (+21),0,23:32,6,9,.667,6,9,.667,2,2,1.000,1,3,4,5,1,0,1,3,20,20.0,+18
17,,2012-11-29,35-124,SAS,@,MIA,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,15,2012-12-01,35-126,SAS,,MEM,W (+4),0,35:01,4,15,.267,1,7,.143,1,3,.333,0,5,5,6,6,1,6,2,10,5.9,+7
