Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2008-11-24,31-119,SAS,@,MEM,W (+13),0,11:16,3,4,.750,1,2,.500,5,6,.833,0,4,4,1,0,0,1,1,12,10.5,+3
2,2,2008-11-26,31-121,SAS,,CHI,W (+10),0,17:55,5,8,.625,0,1,.000,5,6,.833,0,3,3,4,1,1,1,0,15,15.4,+7
3,3,2008-11-28,31-123,SAS,,MEM,W (+11),0,20:50,6,10,.600,2,4,.500,0,0,,0,1,1,2,0,0,3,0,14,8.1,+7
4,4,2008-11-29,31-124,SAS,@,HOU,L (-19),0,21:42,2,6,.333,1,4,.250,6,6,1.000,0,3,3,2,0,0,5,2,11,4.1,-8
5,5,2008-12-02,31-127,SAS,,DET,L (-12),1,27:48,4,11,.364,2,6,.333,3,4,.750,0,3,3,3,1,0,2,1,13,8.1,-17
6,6,2008-12-04,31-129,SAS,@,DEN,W (+17),1,29:50,7,11,.636,4,7,.571,3,3,1.000,0,4,4,2,1,0,1,3,21,17.5,+17
7,7,2008-12-06,31-131,SAS,,GSW,W (+35),1,21:42,3,7,.429,1,5,.200,2,2,1.000,1,2,3,7,2,0,1,0,9,12.5,+28
8,8,2008-12-09,31-134,SAS,@,DAL,W (+7),1,41:52,7,21,.333,2,9,.222,2,2,1.000,1,5,6,8,1,1,1,1,18,14.2,-11
9,9,2008-12-10,31-135,SAS,,ATL,W (+6),0,28:19,8,12,.667,5,7,.714,6,6,1.000,0,5,5,3,1,0,4,4,27,20.8,0
10,10,2008-12-12,31-137,SAS,@,MIN,W (+12),0,28:54,6,17,.353,1,4,.250,3,4,.750,2,2,4,0,0,0,0,3,16,6.9,+1
11,11,2008-12-14,31-139,SAS,,OKC,W (+5),0,30:06,5,10,.500,0,4,.000,4,8,.500,1,4,5,6,0,1,2,1,14,11.8,+2
12,12,2008-12-17,31-142,SAS,@,NOH,L (-7),0,30:49,7,12,.583,3,4,.750,0,0,,1,8,9,5,1,1,5,3,17,13.5,+1
13,13,2008-12-18,31-143,SAS,@,ORL,L (-12),0,28:44,4,12,.333,1,3,.333,1,2,.500,3,5,8,3,0,0,3,2,10,4.7,-6
14,14,2008-12-20,31-145,SAS,,TOR,W (+10),0,24:51,4,8,.500,3,5,.600,2,2,1.000,0,7,7,3,0,0,4,3,13,8.0,+4
15,15,2008-12-22,31-147,SAS,,SAC,W (+16),0,23:36,4,9,.444,0,1,.000,2,3,.667,1,4,5,3,1,0,1,3,10,7.7,+19
16,16,2008-12-23,31-148,SAS,,MIN,W (+6),0,19:41,2,7,.286,1,3,.333,3,4,.750,0,1,1,2,1,0,3,2,8,2.4,+5
17,17,2008-12-25,31-150,SAS,@,PHO,W (+1),0,26:35,4,14,.286,1,6,.167,2,3,.667,0,4,4,4,2,1,1,3,11,6.9,+3
18,18,2008-12-27,31-152,SAS,,MEM,W (+3),0,40:57,7,16,.438,3,7,.429,3,3,1.000,0,4,4,4,2,1,1,1,20,16.9,+10
19,19,2008-12-30,31-155,SAS,,MIL,L (-2),0,25:50,5,9,.556,1,2,.500,2,2,1.000,0,2,2,5,1,0,1,4,13,11.2,+12
20,20,2009-01-02,31-158,SAS,@,MEM,W (+11),0,23:37,4,9,.444,0,4,.000,5,6,.833,0,6,6,6,5,0,3,1,13,15.5,+17
21,21,2009-01-03,31-159,SAS,,PHI,W (+2),0,28:38,8,13,.615,2,5,.400,3,4,.750,1,2,3,2,3,1,1,3,21,18.9,-11
22,22,2009-01-05,31-161,SAS,@,MIA,W (+7),0,26:50,5,14,.357,0,5,.000,0,0,,0,5,5,3,3,1,1,0,10,8.5,+1
