Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-04-20,36-266,SAS,,DAL,W (+5),0,31:23,4,10,.400,3,6,.500,6,6,1.000,0,6,6,3,1,0,4,3,17,11.3,+1
2,2,2014-04-23,36-269,SAS,,DAL,L (-21),0,22:46,9,12,.750,5,6,.833,4,7,.571,2,0,2,4,0,0,6,2,27,18.4,-5
3,3,2014-04-26,36-272,SAS,@,DAL,L (-1),0,33:06,4,14,.286,0,4,.000,4,4,1.000,0,5,5,5,4,1,2,1,12,11.1,+10
4,4,2014-04-28,36-274,SAS,@,DAL,W (+4),0,28:07,7,15,.467,1,6,.167,8,11,.727,0,3,3,5,1,0,3,3,23,15.3,+11
5,5,2014-04-30,36-276,SAS,,DAL,W (+6),0,30:06,6,14,.429,3,7,.429,4,6,.667,0,4,4,5,3,0,1,3,19,16.3,-1
6,6,2014-05-02,36-278,SAS,@,DAL,L (-2),0,23:11,1,8,.125,0,5,.000,4,4,1.000,1,2,3,5,1,0,3,3,6,2.4,-9
7,7,2014-05-04,36-280,SAS,,DAL,W (+23),0,23:35,5,7,.714,2,3,.667,8,9,.889,0,3,3,5,6,0,3,2,20,23.3,+32
8,8,2014-05-06,36-282,SAS,,POR,W (+24),0,18:28,0,6,.000,0,2,.000,2,2,1.000,0,3,3,5,0,0,3,0,2,-0.8,+8
9,9,2014-05-08,36-284,SAS,,POR,W (+17),0,27:09,7,18,.389,2,4,.500,0,0,,0,5,5,4,3,0,4,4,16,7.9,+11
10,10,2014-05-10,36-286,SAS,@,POR,W (+15),0,28:32,2,8,.250,0,3,.000,10,10,1.000,0,4,4,5,2,0,2,1,14,13.5,+24
11,11,2014-05-12,36-288,SAS,@,POR,L (-11),0,19:53,1,6,.167,0,3,.000,0,0,,1,1,2,2,0,0,1,2,2,-1.2,-11
12,12,2014-05-14,36-290,SAS,,POR,W (+22),0,19:16,4,11,.364,0,2,.000,1,2,.500,0,4,4,3,1,0,2,1,9,4.4,-2
13,13,2014-05-19,36-295,SAS,,OKC,W (+17),0,27:10,7,12,.583,3,4,.750,1,1,1.000,1,1,2,3,1,0,1,2,18,14.7,+12
14,14,2014-05-21,36-297,SAS,,OKC,W (+35),0,20:56,2,4,.500,1,2,.500,6,6,1.000,1,2,3,4,1,0,0,4,11,12.5,+15
15,15,2014-05-25,36-301,SAS,@,OKC,L (-9),0,23:46,8,13,.615,6,9,.667,1,1,1.000,0,1,1,4,2,0,2,4,23,18.6,-6
16,16,2014-05-27,36-303,SAS,@,OKC,L (-13),0,10:58,2,8,.250,1,4,.250,0,0,,0,0,0,0,1,0,0,3,5,0.0,-10
17,17,2014-05-29,36-305,SAS,,OKC,W (+28),0,21:10,7,9,.778,3,4,.750,2,2,1.000,0,4,4,6,0,0,0,2,19,20.1,+15
18,18,2014-05-31,36-307,SAS,@,OKC,W (+5),0,33:14,4,14,.286,1,7,.143,6,7,.857,3,3,6,5,4,0,3,4,15,12.3,+4
19,19,2014-06-05,36-312,SAS,,MIA,W (+15),0,32:10,5,10,.500,3,6,.500,3,3,1.000,0,5,5,11,3,1,2,3,16,20.7,+22
20,20,2014-06-08,36-315,SAS,,MIA,L (-2),0,27:43,7,15,.467,2,7,.286,3,3,1.000,0,2,2,4,1,0,3,3,19,11.5,+4
21,21,2014-06-10,36-317,SAS,@,MIA,W (+19),0,27:13,4,8,.500,1,3,.333,2,2,1.000,0,3,3,1,1,0,1,4,11,7.0,+9
22,22,2014-06-12,36-319,SAS,@,MIA,W (+21),0,27:57,2,4,.500,1,2,.500,2,3,.667,0,1,1,2,0,0,4,3,7,1.1,+27
23,23,2014-06-15,36-322,SAS,,MIA,W (+17),0,28:26,6,11,.545,3,6,.500,4,5,.800,0,4,4,4,0,0,2,3,19,14.1,+21
