Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2009-10-28,32-092,SAS,,NOH,W (+17),0,23:34,5,11,.455,2,5,.400,4,7,.571,0,1,1,4,1,0,2,3,16,10.0,+17
2,2,2009-10-29,32-093,SAS,@,CHI,L (-7),0,26:04,3,11,.273,1,6,.167,5,5,1.000,3,3,6,4,1,0,1,3,12,10.1,-7
3,3,2009-10-31,32-095,SAS,,SAC,W (+19),0,21:30,5,7,.714,0,2,.000,3,4,.750,0,1,1,3,1,0,1,2,13,11.3,+17
4,4,2009-11-05,32-100,SAS,@,UTA,L (-14),0,25:02,3,8,.375,1,3,.333,4,6,.667,1,1,2,2,2,0,2,3,11,7.0,-8
5,5,2009-11-06,32-101,SAS,@,POR,L (-12),0,27:59,4,14,.286,2,7,.286,7,7,1.000,0,2,2,4,0,0,2,4,17,8.6,-6
6,6,2009-11-09,32-104,SAS,,TOR,W (+7),0,32:14,8,15,.533,6,8,.750,14,16,.875,1,3,4,8,1,4,1,0,36,37.9,+21
7,7,2009-11-11,32-106,SAS,,DAL,W (+9),0,29:29,5,13,.385,3,8,.375,0,0,,2,2,4,5,1,1,4,1,13,8.7,+9
8,8,2009-11-14,32-109,SAS,,OKC,L (-3),0,18:06,0,8,.000,0,4,.000,7,7,1.000,0,4,4,6,2,0,2,2,7,6.0,-3
9,9,2009-11-18,32-113,SAS,@,DAL,L (-5),1,7:28,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,1,0,2,0.7,-4
10,10,2009-11-29,32-124,SAS,,PHI,W (+8),0,16:35,3,7,.429,1,1,1.000,1,1,1.000,0,2,2,2,1,1,3,1,8,4.6,+2
11,11,2009-12-03,32-128,SAS,,BOS,L (-7),0,18:18,4,12,.333,2,4,.500,1,2,.500,2,1,3,3,0,0,3,1,11,4.2,0
12,12,2009-12-05,32-130,SAS,,DEN,L (-7),0,26:09,3,9,.333,2,4,.500,6,7,.857,0,1,1,1,3,0,2,2,14,9.7,-7
13,13,2009-12-07,32-132,SAS,@,UTA,L (-3),0,24:08,2,7,.286,1,4,.250,0,0,,0,2,2,3,2,0,2,3,5,2.4,-11
14,14,2009-12-09,32-134,SAS,,SAC,W (+12),0,25:32,5,11,.455,2,2,1.000,8,8,1.000,0,2,2,3,2,0,1,1,20,17.6,+21
15,15,2009-12-11,32-136,SAS,,CHA,W (+19),0,26:15,7,12,.583,4,5,.800,4,4,1.000,1,3,4,2,2,1,3,3,22,17.9,+6
16,16,2009-12-13,32-138,SAS,@,LAC,W (+25),0,23:03,5,8,.625,4,6,.667,3,3,1.000,0,3,3,3,1,1,1,1,17,16.7,+9
17,17,2009-12-15,32-140,SAS,@,PHO,L (-12),0,31:20,2,8,.250,1,5,.200,2,2,1.000,3,2,5,6,0,0,1,1,7,7.7,+1
18,18,2009-12-16,32-141,SAS,@,GSW,W (+12),0,23:48,2,6,.333,1,4,.250,3,4,.750,1,4,5,5,1,1,4,4,8,5.7,+5
19,19,2009-12-19,32-144,SAS,,IND,W (+1),0,25:30,3,8,.375,1,3,.333,6,6,1.000,1,2,3,2,0,0,4,3,13,6.1,+7
20,20,2009-12-21,32-146,SAS,,LAC,W (+16),0,29:47,1,5,.200,1,2,.500,4,4,1.000,0,2,2,4,2,1,1,1,7,8.6,+26
21,21,2009-12-23,32-148,SAS,,POR,L (-4),0,33:14,3,9,.333,1,5,.200,0,0,,1,3,4,4,1,1,0,1,7,7.6,+4
22,22,2009-12-26,32-151,SAS,@,MIL,W (+15),0,23:05,5,6,.833,1,1,1.000,2,2,1.000,0,3,3,8,2,0,1,0,13,18.3,-8
23,23,2009-12-27,32-152,SAS,@,NYK,W (+7),0,29:46,6,14,.429,2,6,.333,3,3,1.000,2,2,4,3,2,0,2,1,17,13.3,+4
24,24,2009-12-29,32-154,SAS,,MIN,W (+18),0,27:38,5,11,.455,3,6,.500,1,1,1.000,3,6,9,10,3,0,1,2,14,20.4,+16
25,25,2009-12-31,32-156,SAS,,MIA,W (+30),0,24:04,7,13,.538,0,3,.000,4,4,1.000,1,3,4,4,4,0,2,1,18,17.7,+30
26,26,2010-01-02,32-158,SAS,@,WAS,W (+11),0,27:44,3,7,.429,1,2,.500,3,3,1.000,0,4,4,3,0,0,1,4,10,7.0,+6
27,27,2010-01-03,32-159,SAS,@,TOR,L (-5),0,30:38,2,9,.222,0,3,.000,3,3,1.000,1,6,7,4,1,0,0,2,7,7.0,-6
28,28,2010-01-06,32-162,SAS,,DET,W (+20),0,28:55,6,11,.545,2,6,.333,2,3,.667,0,0,0,5,2,0,1,1,16,14.4,+13
29,29,2010-01-08,32-164,SAS,,DAL,L (-9),0,33:57,5,12,.417,1,4,.250,1,1,1.000,1,4,5,7,2,0,3,2,12,10.6,-21
30,30,2010-01-10,32-166,SAS,,NJN,W (+12),0,26:25,6,11,.545,1,3,.333,8,8,1.000,0,3,3,3,1,0,3,0,21,16.7,+16
31,31,2010-01-12,32-168,SAS,,LAL,W (+20),0,25:27,3,6,.500,2,5,.400,1,3,.333,0,2,2,6,1,0,0,4,9,9.4,+15
32,32,2010-01-13,32-169,SAS,@,OKC,W (+1),0,30:17,0,10,.000,0,4,.000,2,2,1.000,2,2,4,7,3,1,2,4,2,2.0,+5
33,33,2010-01-15,32-171,SAS,@,CHA,L (-16),0,28:05,4,11,.364,1,5,.200,2,2,1.000,1,2,3,6,0,0,1,1,11,9.0,-9
34,34,2010-01-16,32-172,SAS,@,MEM,L (-6),0,26:48,3,10,.300,3,5,.600,0,2,.000,2,2,4,7,2,1,0,2,9,11.2,-4
35,35,2010-01-18,32-174,SAS,@,NOH,W (+7),0,34:37,3,9,.333,1,3,.333,4,7,.571,3,3,6,6,3,0,3,2,11,11.1,+6
36,36,2010-01-20,32-176,SAS,,UTA,L (-7),0,35:38,7,13,.538,1,4,.250,7,8,.875,0,5,5,8,1,1,3,1,22,20.7,+12
37,37,2010-01-22,32-178,SAS,,HOU,L (-7),0,32:22,6,15,.400,2,7,.286,1,1,1.000,1,5,6,2,1,0,4,4,15,5.9,-12
38,38,2010-01-25,32-181,SAS,,CHI,L (-5),0,29:19,4,14,.286,1,5,.200,5,6,.833,3,3,6,2,3,0,3,1,14,9.4,-7
39,39,2010-01-27,32-183,SAS,,ATL,W (+15),0,27:42,5,16,.313,1,4,.250,3,3,1.000,2,0,2,6,1,1,0,3,14,10.9,+11
40,40,2010-01-29,32-185,SAS,,MEM,W (+7),0,28:39,5,14,.357,2,4,.500,2,2,1.000,2,2,4,7,0,0,3,2,14,9.3,-1
41,41,2010-01-31,32-187,SAS,,DEN,L (-14),0,33:10,3,11,.273,1,3,.333,7,8,.875,1,4,5,9,3,0,4,4,14,12.7,+8
42,42,2010-02-03,32-190,SAS,@,SAC,W (+2),0,29:18,7,12,.583,1,4,.250,5,7,.714,1,2,3,6,1,1,4,2,20,16.0,+13
43,43,2010-02-04,32-191,SAS,@,POR,L (-3),0,29:17,8,16,.500,2,7,.286,3,3,1.000,2,1,3,5,1,0,1,3,21,17.0,-6
44,44,2010-02-06,32-193,SAS,@,LAC,W (+17),0,19:42,2,6,.333,1,2,.500,4,6,.667,1,1,2,1,1,1,2,1,9,5.8,+6
45,45,2010-02-08,32-195,SAS,@,LAL,L (-12),0,29:58,7,11,.636,3,5,.600,4,4,1.000,0,1,1,2,1,1,2,4,21,15.9,-10
46,46,2010-02-11,32-198,SAS,@,DEN,W (+19),0,26:49,4,11,.364,2,3,.667,5,8,.625,1,5,6,6,2,0,2,4,15,12.5,+16
47,47,2010-02-17,32-204,SAS,@,IND,W (+3),0,31:21,7,14,.500,1,6,.167,3,5,.600,1,5,6,7,1,0,2,2,18,15.5,-2
48,48,2010-02-19,32-206,SAS,@,PHI,L (-12),0,30:44,9,18,.500,3,7,.429,3,3,1.000,0,3,3,4,2,0,2,0,24,18.7,+2
49,49,2010-02-21,32-208,SAS,@,DET,L (-8),0,38:10,5,15,.333,3,7,.429,8,8,1.000,0,1,1,5,4,0,4,3,21,15.1,+7
50,50,2010-02-24,32-211,SAS,,OKC,W (+8),0,33:30,9,18,.500,1,4,.250,7,8,.875,3,6,9,4,2,1,1,1,26,24.6,+9
51,51,2010-02-26,32-213,SAS,@,HOU,L (-5),0,24:06,1,8,.125,0,2,.000,6,6,1.000,1,9,10,4,0,0,2,1,8,6.6,-13
52,52,2010-02-28,32-215,SAS,,PHO,W (+3),0,33:51,5,13,.385,2,6,.333,9,9,1.000,0,6,6,8,1,0,3,5,21,17.3,-1
53,53,2010-03-01,32-216,SAS,@,NOH,W (+14),0,28:46,4,9,.444,3,6,.500,2,2,1.000,0,4,4,8,4,2,4,3,13,15.3,+15
54,54,2010-03-05,32-220,SAS,,NOH,W (+11),0,30:49,6,11,.545,2,4,.500,2,2,1.000,1,4,5,5,1,0,1,2,16,15.3,+5
55,55,2010-03-06,32-221,SAS,@,MEM,W (+10),0,27:48,6,11,.545,1,5,.200,4,4,1.000,0,1,1,6,1,0,3,2,17,13.4,-5
56,56,2010-03-08,32-223,SAS,@,CLE,L (-2),1,36:53,12,23,.522,7,11,.636,7,7,1.000,3,4,7,5,2,0,2,4,38,31.9,+2
57,57,2010-03-10,32-225,SAS,,NYK,W (+10),1,33:17,10,18,.556,2,6,.333,6,8,.750,2,4,6,5,1,0,1,3,28,23.5,+13
58,58,2010-03-12,32-227,SAS,@,MIN,W (+18),1,27:44,3,6,.500,0,1,.000,0,0,,1,1,2,7,2,0,3,1,6,7.5,+2
59,59,2010-03-13,32-228,SAS,,LAC,W (+30),1,18:17,6,9,.667,2,3,.667,0,0,,1,2,3,6,2,0,3,0,14,14.6,+13
60,60,2010-03-16,32-231,SAS,@,MIA,W (+12),1,35:46,7,14,.500,2,5,.400,6,6,1.000,0,5,5,1,2,0,3,2,22,15.4,+13
61,61,2010-03-17,32-232,SAS,@,ORL,L (-26),1,23:57,8,13,.615,1,3,.333,1,2,.500,0,3,3,3,0,0,2,0,18,12.7,-11
62,62,2010-03-19,32-234,SAS,,GSW,W (+31),1,21:54,10,15,.667,2,4,.500,1,1,1.000,0,2,2,11,1,0,1,1,23,24.4,+9
63,63,2010-03-21,32-236,SAS,@,ATL,L (-5),1,44:42,12,26,.462,5,11,.455,9,10,.900,0,1,1,6,1,0,4,3,38,24.5,-2
64,64,2010-03-22,32-237,SAS,@,OKC,W (+3),1,34:06,7,16,.438,2,5,.400,5,7,.714,1,4,5,5,2,1,2,2,21,17.1,+8
65,65,2010-03-24,32-239,SAS,,LAL,L (-9),1,33:22,8,18,.444,4,9,.444,4,5,.800,1,3,4,2,0,0,2,2,24,14.4,+12
66,66,2010-03-26,32-241,SAS,,CLE,W (+5),1,36:08,10,19,.526,3,5,.600,7,8,.875,0,6,6,6,1,0,3,2,30,23.5,+12
67,67,2010-03-28,32-243,SAS,@,BOS,W (+21),1,35:51,9,19,.474,2,8,.250,8,8,1.000,1,2,3,7,1,1,0,3,28,25.0,+36
68,68,2010-03-31,32-246,SAS,,HOU,W (+17),1,31:38,6,13,.462,2,3,.667,4,5,.800,0,3,3,10,0,0,2,1,18,16.4,+8
69,69,2010-04-02,32-248,SAS,,ORL,W (+12),1,35:25,13,25,.520,3,6,.500,14,17,.824,0,6,6,5,1,0,2,3,43,32.6,+15
70,70,2010-04-04,32-250,SAS,@,LAL,W (+19),1,36:54,10,22,.455,2,5,.400,10,11,.909,2,3,5,5,1,0,6,1,32,20.6,+20
71,71,2010-04-06,32-252,SAS,@,SAC,W (+9),1,33:48,5,13,.385,3,6,.500,3,3,1.000,0,1,1,6,1,0,1,2,16,12.6,+19
72,72,2010-04-07,32-253,SAS,@,PHO,L (-11),1,32:08,5,14,.357,0,5,.000,0,0,,3,0,3,4,1,0,2,4,10,4.5,-12
73,73,2010-04-09,32-255,SAS,,MEM,L (-8),1,35:10,7,15,.467,1,6,.167,11,11,1.000,1,7,8,5,1,0,2,4,26,22.0,-2
74,74,2010-04-10,32-256,SAS,@,DEN,W (+19),1,28:35,4,10,.400,2,6,.333,5,6,.833,0,3,3,7,2,0,1,1,15,15.6,+26
75,75,2010-04-12,32-258,SAS,,MIN,W (+22),1,20:48,4,7,.571,0,2,.000,0,0,,0,2,2,4,0,1,1,1,8,7.4,+2
