Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016-04-17,38-264,SAS,,MEM,W (+32),0,20:31,1,5,.200,0,2,.000,0,0,,0,7,7,3,1,1,0,1,2,4.4,+24
2,2,2016-04-19,38-266,SAS,,MEM,W (+26),0,14:26,2,3,.667,1,2,.500,3,4,.750,0,1,1,1,1,0,1,3,8,6.1,+9
3,3,2016-04-22,38-269,SAS,@,MEM,W (+9),0,26:57,3,5,.600,3,4,.750,2,2,1.000,1,2,3,5,1,0,0,4,11,12.9,+10
4,4,2016-04-24,38-271,SAS,@,MEM,W (+21),0,13:53,2,5,.400,0,1,.000,3,4,.750,1,3,4,2,0,0,0,5,7,4.9,+17
5,5,2016-04-30,38-277,SAS,,OKC,W (+32),0,11:08,1,2,.500,1,1,1.000,3,3,1.000,0,1,1,5,0,0,0,1,6,8.4,+13
6,6,2016-05-02,38-279,SAS,,OKC,L (-1),0,22:16,5,8,.625,1,2,.500,0,0,,2,1,3,1,2,1,2,2,11,9.7,+1
7,7,2016-05-06,38-283,SAS,@,OKC,W (+4),0,19:16,1,4,.250,0,2,.000,3,6,.500,0,3,3,3,2,0,2,2,5,3.6,+5
8,8,2016-05-08,38-285,SAS,@,OKC,L (-14),0,21:30,3,5,.600,1,2,.500,2,2,1.000,0,2,2,1,1,0,1,0,9,8.0,+5
9,9,2016-05-10,38-287,SAS,,OKC,L (-4),0,19:25,1,4,.250,1,2,.500,0,0,,2,0,2,2,0,1,0,1,3,3.7,-5
10,10,2016-05-12,38-289,SAS,@,OKC,L (-14),0,22:57,1,6,.167,1,3,.333,2,2,1.000,0,1,1,2,0,0,1,6,5,-0.5,-19
