Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2006-11-02,29-097,SAS,@,DAL,W (+6),1,34:19,6,12,.500,1,2,.500,3,5,.600,0,4,4,5,2,1,1,1,16,15.2,-5
2,2,2006-11-03,29-098,SAS,,CLE,L (-7),1,30:43,5,11,.455,3,7,.429,1,3,.333,0,4,4,1,0,1,3,3,14,5.9,-6
3,3,2006-11-05,29-100,SAS,@,TOR,W (+9),1,29:44,4,10,.400,0,3,.000,4,4,1.000,0,2,2,3,0,0,2,1,12,6.9,+14
4,4,2006-11-06,29-101,SAS,@,NYK,W (+12),1,29:14,4,9,.444,2,5,.400,5,5,1.000,0,4,4,7,1,0,2,3,15,14.2,+19
5,5,2006-11-08,29-103,SAS,,PHO,W (+5),1,32:32,3,13,.231,1,2,.500,5,5,1.000,1,7,8,5,0,0,2,2,12,7.6,+2
6,6,2006-11-11,29-106,SAS,,NYK,W (+8),1,25:00,3,9,.333,1,5,.200,2,3,.667,2,4,6,2,2,0,4,5,9,3.5,+12
7,7,2006-11-14,29-109,SAS,@,HOU,W (+8),1,34:44,7,13,.538,2,5,.400,3,4,.750,0,5,5,2,1,1,2,1,19,14.5,+2
8,8,2006-11-15,29-110,SAS,,CHA,L (-3),1,39:30,3,14,.214,0,3,.000,6,6,1.000,5,7,12,7,1,1,1,2,12,13.8,0
9,9,2006-11-17,29-112,SAS,,CHI,W (+17),1,23:22,1,6,.167,0,3,.000,3,3,1.000,0,3,3,5,4,0,0,2,5,8.8,+9
10,10,2006-11-19,29-114,SAS,@,SAC,W (+9),1,24:05,4,12,.333,2,7,.286,6,6,1.000,1,3,4,1,0,0,1,3,16,9.3,+10
11,11,2006-11-20,29-115,SAS,@,POR,W (+9),1,31:32,9,14,.643,3,4,.750,4,5,.800,1,2,3,3,4,1,2,2,25,23.7,0
12,12,2006-11-22,29-117,SAS,,MIA,W (+20),1,22:57,6,9,.667,2,3,.667,3,3,1.000,0,4,4,2,1,0,2,0,17,14.7,+12
13,13,2006-11-24,29-119,SAS,,DAL,L (-3),1,24:17,3,9,.333,1,2,.500,1,1,1.000,1,3,4,1,1,1,5,1,8,1.5,0
14,14,2006-12-04,29-129,SAS,,GSW,W (+40),0,15:51,3,7,.429,0,1,.000,0,0,,0,3,3,9,1,0,1,2,6,8.7,+9
15,15,2006-12-06,29-131,SAS,@,CHA,W (+20),0,20:24,4,10,.400,0,1,.000,5,5,1.000,2,1,3,5,2,0,1,2,13,13.0,+11
16,16,2006-12-08,29-133,SAS,,LAC,W (+29),0,19:34,8,11,.727,4,6,.667,2,2,1.000,1,5,6,3,2,1,0,2,22,23.7,+18
17,17,2006-12-10,29-135,SAS,@,LAL,L (-7),0,23:46,6,10,.600,4,5,.800,7,7,1.000,0,3,3,3,2,0,6,4,23,15.8,-8
18,18,2006-12-11,29-136,SAS,@,LAC,W (+22),1,22:51,6,10,.600,2,3,.667,4,5,.800,1,0,1,2,2,0,1,2,18,15.3,+16
19,19,2006-12-13,29-138,SAS,,MIN,W (+13),1,33:38,3,8,.375,2,5,.400,4,4,1.000,0,2,2,2,3,0,4,1,12,8.2,+17
20,20,2006-12-14,29-139,SAS,@,NOK,W (+26),1,26:30,8,16,.500,3,7,.429,5,5,1.000,1,2,3,6,0,0,2,1,24,19.1,+24
21,21,2006-12-16,29-141,SAS,,PHI,W (+5),1,30:24,6,16,.375,1,3,.333,4,5,.800,2,7,9,1,4,0,3,2,17,12.2,+12
22,22,2006-12-20,29-145,SAS,,MEM,W (+7),1,25:57,4,9,.444,2,5,.400,2,2,1.000,1,2,3,7,2,0,1,2,12,13.7,+4
23,23,2006-12-22,29-147,SAS,,HOU,L (-19),1,28:08,8,13,.615,4,6,.667,3,3,1.000,0,2,2,3,2,1,3,3,23,18.3,-7
24,24,2006-12-23,29-148,SAS,@,NOK,W (+35),1,25:52,6,11,.545,2,4,.500,3,4,.750,0,3,3,4,3,0,1,1,17,16.6,+17
25,25,2006-12-28,29-153,SAS,,UTA,W (+23),1,17:56,4,12,.333,1,4,.250,3,3,1.000,2,2,4,3,1,1,2,2,12,8.2,+8
26,26,2006-12-31,29-156,SAS,,ATL,W (+14),1,24:43,8,10,.800,0,1,.000,2,4,.500,0,3,3,1,1,0,3,2,18,12.2,+13
27,27,2007-01-02,29-158,SAS,@,CLE,L (-4),1,28:38,1,8,.125,0,5,.000,4,5,.800,0,6,6,3,0,1,3,3,6,0.8,+1
28,28,2007-01-03,29-159,SAS,@,MIN,L (-2),1,37:19,7,17,.412,2,4,.500,10,11,.909,1,6,7,1,1,0,0,3,26,19.5,+4
29,29,2007-01-05,29-161,SAS,,DAL,L (-5),1,33:54,6,11,.545,4,6,.667,9,11,.818,0,5,5,1,2,3,3,2,25,21.4,-1
30,30,2007-01-07,29-163,SAS,@,MEM,W (+14),1,27:23,10,15,.667,6,8,.750,8,9,.889,0,4,4,3,5,0,3,2,34,31.6,+21
31,31,2007-01-09,29-165,SAS,,POR,W (+14),1,23:18,4,15,.267,1,2,.500,5,7,.714,2,3,5,0,4,0,0,1,14,10.2,+9
32,32,2007-01-10,29-166,SAS,@,DEN,W (+9),1,30:26,6,14,.429,0,3,.000,4,4,1.000,1,5,6,6,4,0,3,2,16,15.2,+11
33,33,2007-01-13,29-169,SAS,,WAS,W (+13),1,31:45,6,11,.545,2,2,1.000,5,6,.833,1,5,6,5,3,0,5,1,19,16.6,+15
34,34,2007-01-15,29-171,SAS,@,CHI,L (-12),1,29:58,7,20,.350,0,4,.000,8,9,.889,2,3,5,3,2,0,1,2,22,15.0,-27
35,35,2007-01-17,29-173,SAS,,LAL,L (-4),1,31:14,4,8,.500,1,3,.333,7,8,.875,1,5,6,3,3,0,6,4,16,11.3,-1
36,36,2007-01-19,29-175,SAS,,NOK,W (+13),1,32:03,7,13,.538,1,3,.333,4,6,.667,1,4,5,6,0,0,1,3,19,15.8,+21
37,37,2007-01-21,29-177,SAS,@,PHI,W (+14),1,23:29,4,12,.333,1,5,.200,3,4,.750,2,1,3,2,1,0,1,1,12,7.5,+6
38,38,2007-01-22,29-178,SAS,@,BOS,W (+4),1,31:38,6,11,.545,2,4,.500,1,1,1.000,0,6,6,2,1,0,2,2,15,11.1,+10
39,39,2007-01-24,29-180,SAS,,HOU,L (-5),1,35:57,7,16,.438,1,5,.200,0,0,,1,3,4,4,1,0,2,2,15,9.2,-1
40,40,2007-01-26,29-182,SAS,,MEM,W (+16),1,24:42,6,9,.667,0,1,.000,5,6,.833,1,0,1,2,3,0,4,2,17,13.0,+2
41,41,2007-01-28,29-184,SAS,@,LAL,W (+2),0,27:32,5,16,.313,2,8,.250,9,10,.900,1,6,7,3,0,1,1,4,21,14.1,+1
42,42,2007-01-31,29-187,SAS,@,UTA,L (-4),0,27:44,2,9,.222,1,4,.250,5,6,.833,0,3,3,2,1,0,3,5,10,2.4,+8
43,43,2007-02-01,29-188,SAS,@,PHO,L (-16),0,35:18,12,22,.545,3,8,.375,5,5,1.000,0,2,2,2,0,0,3,3,32,19.2,-18
44,44,2007-02-07,29-194,SAS,@,WAS,W (+27),0,21:42,6,8,.750,4,6,.667,2,2,1.000,1,4,5,3,1,1,2,3,18,17.3,+8
45,45,2007-02-09,29-196,SAS,@,ORL,L (-2),0,30:40,2,7,.286,0,3,.000,3,4,.750,0,3,3,6,0,0,3,2,7,3.8,-5
