Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2013-10-30,36-094,SAS,,MEM,W (+7),0,24:09,6,9,.667,0,1,.000,0,0,,0,4,4,5,2,0,1,2,12,13.0,+10
2,2,2013-11-01,36-096,SAS,@,LAL,W (+6),0,27:08,7,14,.500,3,7,.429,3,3,1.000,0,3,3,3,1,0,1,2,20,15.2,+5
3,3,2013-11-02,36-097,SAS,@,POR,L (-10),0,26:02,5,12,.417,1,4,.250,0,0,,1,2,3,3,1,0,2,2,11,6.2,-7
4,4,2013-11-05,36-100,SAS,@,DEN,W (+8),0,26:57,1,9,.111,0,4,.000,4,4,1.000,0,3,3,5,3,0,1,1,6,6.1,+15
5,5,2013-11-06,36-101,SAS,,PHO,W (+3),0,26:41,4,11,.364,1,4,.250,0,0,,1,4,5,3,2,0,1,3,9,6.7,+8
6,6,2013-11-08,36-103,SAS,,GSW,W (+2),0,21:53,3,11,.273,0,5,.000,0,0,,1,2,3,2,0,1,2,2,6,0.1,-4
7,7,2013-11-10,36-105,SAS,@,NYK,W (+31),0,22:57,4,10,.400,1,6,.167,0,0,,0,5,5,5,0,0,3,3,9,4.4,+9
8,8,2013-11-11,36-106,SAS,@,PHI,W (+24),0,13:02,3,4,.750,2,2,1.000,0,0,,0,1,1,1,0,0,0,1,8,7.0,+10
9,9,2013-11-13,36-108,SAS,,WAS,W (+13),0,22:54,4,8,.500,2,5,.400,0,0,,0,5,5,3,1,0,3,1,10,7.2,+15
10,10,2013-11-15,36-110,SAS,@,UTA,W (+9),0,30:08,3,9,.333,1,3,.333,2,2,1.000,2,7,9,5,1,0,3,2,9,8.1,+7
11,11,2013-11-20,36-115,SAS,,BOS,W (+11),0,24:00,2,5,.400,1,1,1.000,0,0,,0,3,3,7,1,1,0,1,5,9.4,+9
12,12,2013-11-22,36-117,SAS,@,MEM,W (+16),0,27:00,6,13,.462,3,7,.429,0,0,,2,3,5,7,0,0,1,3,15,13.3,+18
13,13,2013-11-23,36-118,SAS,,CLE,W (+30),0,14:49,3,5,.600,1,1,1.000,1,1,1.000,0,1,1,2,1,0,1,1,8,7.0,+9
14,14,2013-11-25,36-120,SAS,,NOP,W (+19),0,19:06,6,7,.857,4,5,.800,0,0,,0,5,5,6,0,0,2,2,16,16.4,+17
15,15,2013-11-27,36-122,SAS,@,OKC,L (-6),0,25:19,5,10,.500,1,5,.200,1,2,.500,0,2,2,2,2,0,3,3,12,6.4,-11
16,16,2013-11-29,36-124,SAS,@,ORL,W (+18),0,19:37,4,9,.444,1,3,.333,2,2,1.000,0,3,3,5,2,0,4,3,11,7.5,+11
17,17,2013-11-30,36-125,SAS,,HOU,L (-6),0,27:11,4,9,.444,1,3,.333,0,0,,0,1,1,11,2,0,4,2,9,9.5,+6
18,18,2013-12-02,36-127,SAS,,ATL,W (+2),0,22:51,2,7,.286,1,4,.250,5,6,.833,0,4,4,7,0,1,1,4,10,9.7,-8
19,19,2013-12-07,36-132,SAS,,IND,L (-11),0,18:34,6,9,.667,4,6,.667,0,0,,1,1,2,3,0,0,0,3,16,14.0,+5
20,20,2013-12-10,36-135,SAS,@,TOR,W (+13),0,23:10,5,10,.500,4,7,.571,2,2,1.000,0,5,5,9,1,1,1,1,16,19.1,+21
21,21,2013-12-11,36-136,SAS,@,MIL,W (+32),0,17:42,2,3,.667,0,1,.000,0,0,,0,1,1,3,0,0,4,1,4,0.7,+9
22,22,2013-12-13,36-138,SAS,,MIN,W (+7),0,25:28,6,10,.600,2,4,.500,6,8,.750,2,2,4,9,1,0,2,1,20,21.5,+27
23,23,2013-12-14,36-139,SAS,@,UTA,W (+16),0,21:29,2,6,.333,0,3,.000,2,2,1.000,0,6,6,3,1,0,2,1,6,5.1,+3
24,24,2013-12-16,36-141,SAS,@,LAC,L (-23),0,24:47,8,11,.727,0,1,.000,0,0,,0,4,4,2,0,0,4,1,16,9.7,+5
25,25,2013-12-18,36-143,SAS,@,PHO,W (+7),0,27:23,9,17,.529,1,5,.200,5,5,1.000,3,3,6,7,2,0,5,0,24,20.6,+16
26,,2013-12-19,36-144,SAS,@,GSW,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,26,2013-12-21,36-146,SAS,,OKC,L (-13),0,27:00,3,9,.333,2,3,.667,3,3,1.000,0,1,1,5,1,0,2,4,11,7.1,-6
28,27,2013-12-23,36-148,SAS,,TOR,W (+13),0,24:42,4,7,.571,1,2,.500,9,9,1.000,3,2,5,2,2,0,3,3,18,16.6,+9
29,28,2013-12-25,36-150,SAS,,HOU,L (-13),0,24:36,8,17,.471,3,7,.429,3,3,1.000,0,3,3,1,0,0,2,2,22,12.1,-10
30,29,2013-12-26,36-151,SAS,@,DAL,W (+9),0,28:00,2,7,.286,1,4,.250,3,4,.750,1,3,4,3,1,0,2,3,8,5.0,+1
31,30,2013-12-29,36-154,SAS,,SAC,W (+8),0,30:15,9,16,.563,4,9,.444,6,6,1.000,0,3,3,3,2,0,1,1,28,24.0,+13
32,31,2013-12-31,36-156,SAS,,BRK,W (+21),0,20:32,3,8,.375,3,5,.600,6,6,1.000,0,4,4,4,0,0,2,2,15,11.8,+5
33,32,2014-01-02,36-158,SAS,,NYK,L (-4),0,28:24,4,11,.364,1,6,.167,2,3,.667,0,2,2,12,2,1,3,2,11,12.4,+16
34,33,2014-01-04,36-160,SAS,,LAC,W (+24),0,23:42,6,11,.545,1,4,.250,2,3,.667,1,1,2,6,2,0,0,1,15,16.1,+7
35,34,2014-01-07,36-163,SAS,@,MEM,W (+2),0,32:39,3,12,.250,0,5,.000,3,5,.600,1,1,2,6,2,0,1,2,9,6.4,-3
36,,2014-01-08,36-164,SAS,,DAL,W (+22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
