Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2003-10-28,26-092,SAS,,PHO,W (+1),1,33:00,1,7,.143,0,3,.000,5,7,.714,1,4,5,3,0,1,2,4,7,2.8,+2
2,2,2003-10-29,26-093,SAS,@,DEN,L (-8),1,37:00,4,12,.333,2,4,.500,4,4,1.000,3,3,6,6,2,1,3,5,14,12.1,-6
3,3,2003-11-01,26-096,SAS,,NYK,W (+12),1,33:00,3,11,.273,0,4,.000,4,4,1.000,0,5,5,5,4,0,1,2,10,10.7,+9
4,4,2003-11-03,26-098,SAS,@,MEM,L (-8),1,29:00,4,10,.400,2,4,.500,3,4,.750,0,3,3,5,2,0,2,2,13,10.8,-11
5,5,2003-11-04,26-099,SAS,,MIA,W (+7),1,33:00,4,13,.308,3,5,.600,4,4,1.000,2,6,8,5,2,1,1,1,15,15.5,+14
6,6,2003-11-06,26-101,SAS,,LAL,L (-3),1,45:00,9,21,.429,4,7,.571,11,13,.846,1,11,12,7,2,0,1,5,33,29.0,+10
7,7,2003-11-08,26-103,SAS,,DAL,L (-3),1,37:00,6,16,.375,1,4,.250,4,4,1.000,0,1,1,7,3,1,2,2,17,14.3,-4
8,8,2003-11-10,26-105,SAS,,UTA,W (+9),1,40:00,6,14,.429,1,4,.250,5,6,.833,3,4,7,3,3,0,5,2,18,12.8,+4
9,9,2003-11-12,26-107,SAS,@,NJN,W (+14),1,38:00,5,16,.313,1,5,.200,1,2,.500,2,6,8,2,1,0,1,1,12,6.6,+13
10,10,2003-11-14,26-109,SAS,@,PHI,L (-4),1,38:00,7,18,.389,2,8,.250,5,6,.833,3,3,6,8,3,1,0,4,21,21.5,0
11,11,2003-11-15,26-110,SAS,@,WAS,W (+24),1,24:00,3,12,.250,0,3,.000,3,3,1.000,1,3,4,3,2,2,0,3,9,7.7,-1
12,12,2003-11-18,26-113,SAS,,GSW,W (+13),1,29:00,6,11,.545,3,4,.750,4,4,1.000,0,1,1,1,0,0,2,0,19,12.7,+13
13,13,2003-11-20,26-115,SAS,@,DAL,L (-3),1,36:00,4,12,.333,1,3,.333,3,4,.750,3,4,7,4,0,0,1,4,12,8.3,0
14,14,2003-11-21,26-116,SAS,,ATL,W (+39),1,23:00,9,10,.900,2,2,1.000,0,2,.000,1,4,5,5,2,0,1,2,20,21.4,+26
15,15,2003-11-26,26-121,SAS,,CHI,W (+11),1,31:00,7,14,.500,1,4,.250,2,2,1.000,2,9,11,8,3,0,0,0,17,22.7,+18
16,16,2003-11-28,26-123,SAS,@,LAL,L (-16),1,26:00,5,11,.455,0,1,.000,3,5,.600,0,1,1,1,3,0,5,1,13,5.1,-20
17,17,2003-11-29,26-124,SAS,@,GSW,L (-2),1,33:00,2,7,.286,0,1,.000,7,8,.875,0,3,3,6,2,0,2,4,11,10.0,+2
18,18,2003-12-01,26-126,SAS,@,LAC,L (-8),1,41:00,2,12,.167,1,3,.333,2,2,1.000,0,5,5,5,1,0,3,5,7,0.4,-2
19,19,2003-12-03,26-128,SAS,,LAL,L (-4),1,37:00,4,11,.364,2,5,.400,3,4,.750,1,4,5,4,1,2,6,3,13,6.4,0
20,20,2003-12-05,26-130,SAS,@,ORL,W (+11),1,30:00,0,3,.000,0,0,,2,6,.333,1,1,2,3,3,0,2,3,2,1.2,+1
21,21,2003-12-06,26-131,SAS,@,MIA,W (+16),1,35:00,3,8,.375,1,4,.250,4,4,1.000,0,3,3,4,1,1,3,3,11,7.8,+18
22,22,2003-12-08,26-133,SAS,@,CHI,W (+14),1,36:00,9,13,.692,5,6,.833,3,3,1.000,0,5,5,3,5,1,1,2,26,28.0,+13
23,23,2003-12-10,26-135,SAS,,POR,W (+25),1,34:00,4,11,.364,0,3,.000,3,3,1.000,0,5,5,6,6,0,0,0,11,16.6,+28
24,24,2003-12-11,26-136,SAS,@,HOU,W (+4),1,35:00,5,13,.385,1,5,.200,0,0,,1,9,10,4,1,0,1,1,11,9.7,+6
25,25,2003-12-13,26-138,SAS,,HOU,W (+13),1,33:00,5,12,.417,4,7,.571,2,3,.667,1,3,4,2,3,0,2,1,16,12.8,+15
26,26,2003-12-15,26-140,SAS,,MEM,W (+11),1,35:00,2,10,.200,0,3,.000,3,4,.750,1,6,7,8,3,0,3,1,7,8.1,+19
27,27,2003-12-17,26-142,SAS,,TOR,W (+3),1,27:00,1,7,.143,1,5,.200,1,3,.333,2,2,4,3,2,0,1,5,4,1.8,+10
28,28,2003-12-19,26-144,SAS,@,SEA,W (+14),1,36:00,5,9,.556,0,1,.000,4,5,.800,0,1,1,4,2,1,3,3,14,10.9,+16
29,29,2003-12-20,26-145,SAS,@,POR,W (+10),1,30:00,3,8,.375,0,3,.000,1,2,.500,0,3,3,1,0,0,1,0,7,2.8,+12
30,30,2003-12-23,26-148,SAS,,LAC,W (+21),1,31:00,6,10,.600,3,5,.600,1,2,.500,2,1,3,5,3,0,0,1,16,18.8,+5
31,31,2003-12-26,26-151,SAS,,ORL,W (+15),1,38:00,4,13,.308,1,5,.200,2,4,.500,2,7,9,7,1,0,2,2,11,9.3,-1
32,32,2003-12-28,26-153,SAS,,MIL,W (+15),1,33:00,10,16,.625,1,2,.500,4,7,.571,4,5,9,3,3,0,2,3,25,22.8,+17
33,33,2004-01-03,26-159,SAS,,PHI,L (-6),1,7:00,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,3.7,+1
