Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,37-092,SAS,,DAL,W (+1),0,27:41,6,13,.462,2,6,.333,6,7,.857,0,2,2,6,2,0,3,4,20,15.1,-6
2,2,2014-10-31,37-095,SAS,@,PHO,L (-5),0,25:05,0,5,.000,0,2,.000,2,3,.667,0,2,2,2,0,0,0,2,2,-0.7,+2
3,3,2014-11-05,37-100,SAS,,ATL,W (+2),0,25:54,2,7,.286,1,1,1.000,7,7,1.000,0,4,4,3,1,0,2,3,12,9.0,+8
4,,2014-11-06,37-101,SAS,@,HOU,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4,2014-11-08,37-103,SAS,,NOP,L (-1),0,26:33,6,11,.545,2,4,.500,3,4,.750,1,1,2,0,2,0,3,1,17,10.9,+2
6,5,2014-11-10,37-105,SAS,@,LAC,W (+4),0,24:44,4,8,.500,0,2,.000,2,4,.500,0,4,4,3,0,1,1,3,10,7.0,+10
7,6,2014-11-11,37-106,SAS,@,GSW,W (+13),0,25:37,7,17,.412,3,8,.375,0,1,.000,0,1,1,5,2,0,2,2,17,10.5,+12
8,7,2014-11-14,37-109,SAS,@,LAL,W (+13),0,24:55,2,9,.222,1,3,.333,4,4,1.000,1,1,2,8,2,0,0,2,9,11.3,+30
9,8,2014-11-15,37-110,SAS,@,SAC,L (-3),0,26:26,7,15,.467,1,7,.143,6,7,.857,0,4,4,5,1,0,3,2,21,14.8,+6
10,9,2014-11-17,37-112,SAS,,PHI,W (+25),0,11:52,0,2,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,2,0,2,0.3,-2
11,10,2014-11-19,37-114,SAS,@,CLE,W (+2),0,31:18,3,7,.429,0,1,.000,1,2,.500,0,3,3,5,0,0,0,2,7,6.5,+1
12,11,2014-11-21,37-116,SAS,@,MIN,W (+29),0,17:45,1,6,.167,1,2,.500,2,2,1.000,0,0,0,4,1,0,1,1,5,3.6,+12
13,12,2014-11-22,37-117,SAS,,BRK,W (+12),0,23:55,2,2,1.000,1,1,1.000,0,0,,0,3,3,4,0,1,2,0,5,6.8,+11
14,13,2014-11-26,37-121,SAS,,IND,W (+6),0,26:19,10,18,.556,2,6,.333,6,7,.857,0,3,3,4,2,0,3,2,28,20.9,+1
15,14,2014-11-28,37-123,SAS,,SAC,W (+8),0,23:12,3,6,.500,1,3,.333,0,0,,0,3,3,8,0,0,1,1,7,9.1,+11
